# Created by: riboviz
# Date: 2026-03-12 10:38:58.20033
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
Pos	Counts	End
-24	96	5'
-23	108	5'
-22	147	5'
-21	122	5'
-20	147	5'
-19	509	5'
-18	3152	5'
-17	353	5'
-16	174	5'
-15	265	5'
-14	4051	5'
-13	7808	5'
-12	22396	5'
-11	14731	5'
-10	6961	5'
-9	12576	5'
-8	8601	5'
-7	5867	5'
-6	9845	5'
-5	6268	5'
-4	5668	5'
-3	12708	5'
-2	6759	5'
-1	4628	5'
0	7495	5'
1	8991	5'
2	11467	5'
3	4623	5'
4	3775	5'
5	3556	5'
6	9179	5'
7	6091	5'
8	3475	5'
9	7185	5'
10	5528	5'
11	3233	5'
12	7663	5'
13	5495	5'
14	4071	5'
15	10344	5'
16	5348	5'
17	4586	5'
18	7627	5'
19	5454	5'
20	3356	5'
21	8251	5'
22	5123	5'
23	3627	5'
24	8559	5'
25	4571	5'
26	3560	5'
27	7427	5'
28	5064	5'
29	4211	5'
30	7607	5'
31	5184	5'
32	3535	5'
33	6939	5'
34	5226	5'
35	3681	5'
36	7988	5'
37	5237	5'
38	4505	5'
39	9259	5'
40	5828	5'
41	3721	5'
42	8478	5'
43	6137	5'
44	4185	5'
45	8661	5'
46	5331	5'
47	4125	5'
48	9490	5'
49	6457	5'
50	5045	5'
-49	4501	3'
-48	8547	3'
-47	6561	3'
-46	3815	3'
-45	9871	3'
-44	6352	3'
-43	4203	3'
-42	9796	3'
-41	5571	3'
-40	4405	3'
-39	8950	3'
-38	6254	3'
-37	3837	3'
-36	9652	3'
-35	6386	3'
-34	4177	3'
-33	8005	3'
-32	5083	3'
-31	3895	3'
-30	8119	3'
-29	5241	3'
-28	3703	3'
-27	8647	3'
-26	5728	3'
-25	3565	3'
-24	7861	3'
-23	4549	3'
-22	3918	3'
-21	9323	3'
-20	5147	3'
-19	3503	3'
-18	7633	3'
-17	6022	3'
-16	1141	3'
-15	692	3'
-14	506	3'
-13	288	3'
-12	215	3'
-11	189	3'
-10	117	3'
-9	118	3'
-8	101	3'
-7	87	3'
-6	58	3'
-5	80	3'
-4	46	3'
-3	38	3'
-2	39	3'
-1	60	3'
0	39	3'
1	46	3'
2	40	3'
3	36	3'
4	39	3'
5	42	3'
6	252	3'
7	180	3'
8	3331	3'
9	96	3'
10	65	3'
11	41	3'
12	52	3'
13	34	3'
14	94	3'
15	25	3'
16	39	3'
17	56	3'
18	352	3'
19	557	3'
20	1095	3'
21	562	3'
22	76	3'
23	196	3'
24	1013	3'
25	883	3'
