GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
YNL098C,2.2915370464325,0.359030723571777,0.162579188858944,0.0308452684491644,2.00315813422203,2.60119768381119,0.301715228605498,0.415173358567839
YNL097C,0.192482024431229,-0.716898143291473,0.0148316396113571,0.0334910954841729,0.16559426796933,0.221861764788628,-0.780954701913654,-0.653917536758964
YNL095C,0.121045053005219,-0.918147921562195,0.00858480859714492,0.030867426197712,0.105598764121532,0.137205472712715,-0.976341164613397,-0.862628571750476
YNL094W,0.0809383019804955,-1.09308922290802,0.00612051652427916,0.0328190588356402,0.0699719655017058,0.0931703228503465,-1.15507593002447,-1.03072240574851
YNL091W,0.297096967697144,-0.527948081493378,0.0185476088824575,0.0271876147661034,0.265583485364914,0.330049897481998,-0.575798933964701,-0.481420397880084
YNL088W,0.62866735458374,-0.202378690242767,0.038089813133042,0.0263780090413032,0.565559328099092,0.693357944488525,-0.247521830369795,-0.159042503940756
YNL087W,0.629191994667053,-0.202060088515282,0.0391672295082792,0.0270935934709446,0.563982125620047,0.696832180023193,-0.248734661024864,-0.15687180162296
YNL085W,1.15245044231415,0.0607595629990101,0.0725626608066847,0.0274128052545357,1.02995808621248,1.27979791164398,0.0128195513357812,0.107141397158096
YNL084C,1.140944480896,0.0561737194657326,0.0808016636740098,0.0308037680515425,0.994354077180227,1.29454109172026,-0.00245894760833029,0.112115839504476
YNL083W,0.0914428234100342,-1.04009211063385,0.0069195356681658,0.0328597889606351,0.0790246159459154,0.105153868968288,-1.10223760809179,-0.978174743611969
YNL082W,0.158151626586914,-0.80190122127533,0.0105928634483847,0.0291370372842386,0.13956054498752,0.177849005286892,-0.855237344637586,-0.749948564852976
YNL078W,0.334707647562027,-0.476453065872192,0.0240351272941953,0.0311663530727348,0.292420326173305,0.382073129713535,-0.53399244282918,-0.417853504983337
YNL077W,0.150703310966492,-0.822997152805328,0.0108411424493577,0.031218942654326,0.131748855734865,0.172003726412853,-0.880253150253379,-0.764462144310455
YNL075W,0.907407939434052,-0.0433470383286476,0.0659881218495219,0.0316077832363564,0.79037887553374,1.03282832801342,-0.102164676042301,0.0140281295861945
YNL074C,0.497941941022873,-0.303834140300751,0.0339814671280842,0.0296753094844545,0.437780740608772,0.562431736290455,-0.358743348617288,-0.249930189626096
YNL073W,0.130553960800171,-0.885246872901917,0.00901266167593902,0.0300347935677871,0.11418118296812,0.147649011015892,-0.94240546305401,-0.830769457836466
YNL068C,0.202234089374542,-0.695076584815979,0.0132315984694986,0.0284628017134637,0.179484074935317,0.226459708313147,-0.745974079604461,-0.645009061173118
YNL065W,0.119561217725277,-0.923549294471741,0.00866184871129785,0.0314814871127361,0.104204326868057,0.136411542445421,-0.982114247486523,-0.86514888069048
YNL064C,8.32833957672119,0.919551968574524,0.566752834173317,0.0296054405552516,7.32300820350647,9.38833612600962,0.864689519951905,0.972588624592247
