GeneID,elp1D_1
YDR141C,15
YDR142C,7.6
YDR143C,14
YDR145W,24.5
YDR148C,70.4
YDR150W,17.6
YDR151C,25
YDR153C,27.5
YDR160W,1.3
YDR161W,68.1
YDR165W,64.7
YDR168W,105.8
YDR169C,16.4
YDR172W,252.6
YDR173C,11.7
YDR179W-A,3.5
YDR181C,9
YDR183W,13.8
YDR184C,24.1
YDR186C,14
YDR189W,39.2
YDR191W,5.8
YDR194C,61.9
YDR200C,7.9
YDR204W,22.3
YDR205W,10.5
YDR206W,11.7
YDR208W,21.3
YDR211W,93
YDR214W,124.4
YDR218C,0.6
YDR219C,14.6
YDR223W,0.2
YDR228C,11.6
YDR232W,74.9
YDR234W,95.1
YDR237W,28.5
YDR238C,113.9
YDR239C,8.6
YDR242W,0.4
YDR243C,13.2
YDR245W,53.9
YDR249C,4.6
YDR251W,19
YDR258C,53.7
YDR259C,1.7
YDR262W,36.6
YDR263C,0.4
YDR264C,38.5
YDR266C,28.4
YDR267C,23.1
YDR270W,8.2
YDR272W,66.2
YDR273W,1.3
YDR277C,1.9
YDR279W,12.9
YDR280W,51.9
YDR282C,4.4
YDR285W,1.1
YDR287W,16.2
YDR288W,6.8
YDR289C,17.6
YDR292C,32.4
YDR293C,47
YDR294C,52
YDR295C,11
YDR299W,43.5
YDR301W,11.8
YDR309C,51.4
YDR311W,16.9
YDR313C,7.4
YDR314C,1.4
YDR316W,8.8
YDR317W,1.4
YDR318W,4.8
YDR319C,9.9
YDR321W,199.7
YDR322W,25.4
YDR323C,6.9
YDR324C,52.9
YDR329C,20.5
YDR331W,36
YDR332W,3.5
YDR333C,22.9
YDR335W,26.9
YDR337W,24.9
YDR338C,6.7
YDR341C,225.6
YDR346C,131.7
YDR347W,33
YDR348C,28.3
YDR350C,3.5
YDR352W,24.5
YDR354W,56.3
YDR359C,6.1
YDR361C,100
YDR362C,8.5
YDR363W,6.3
YDR365C,66.6
YDR369C,4.8
YDR371W,7.8
YDR372C,78.8
YDR375C,10.2
YDR376W,15.5
YDR379W,5.4
YDR380W,59.5
YDR383C,7.3
YDR384C,137.1
YDR387C,2
YDR388W,105.9
YDR389W,14.9
YDR390C,43.6
YDR391C,17.1
YDR392W,15.7
YDR393W,6.5
YDR394W,156.9
YDR398W,43.7
YDR400W,32.3
YDR403W,0.9
YDR405W,22.4
YDR409W,5.1
YDR410C,24.5
YDR411C,40.9
YDR412W,50.8
YDR414C,8.3
YDR415C,26.3
YDR416W,7.9
YDR427W,97.5
YDR428C,19.3
YDR430C,21.5
YDR435C,14.9
YDR436W,6.6
YDR438W,0.5
YDR439W,6.6
YDR440W,8.2
YDR449C,53.3
YDR451C,35.9
YDR456W,21.1
YDR459C,2.6
YDR463W,38.3
YDR464W,10.2
YDR465C,53.7
YDR472W,37.9
YDR473C,6.2
YDR475C,4.5
YDR477W,42.6
YDR479C,7
YDR480W,13
YDR481C,113.6
YDR484W,9
YDR486C,42.7
YDR489W,13.1
YDR490C,9.8
YDR492W,42.6
YDR494W,15.6
YDR495C,6.3
YDR497C,88
YDR498C,10
YDR505C,15.9
YDR506C,323.8
YDR514C,12.5
YDR515W,11.9
YDR516C,27.3
YDR517W,56.8
YDR518W,35.5
YDR520C,5.3
YDR523C,0.1
YDR528W,14.6
YDR530C,12.7
YDR532C,4.4
YDR533C,17.8
YDR534C,9.3
YDR536W,0.4
YDR538W,8.6
YDR539W,22.1
YEL072W,1.5
YEL071W,256.8
YEL065W,53.1
YEL063C,56.6
YEL062W,6.3
YEL060C,85.1
YEL058W,98.3
YEL057C,0.6
YEL056W,31
YEL055C,50
YEL052W,19.6
YEL051W,248.2
YEL050C,25.8
YEL047C,95.1
YEL042W,101.3
YEL041W,2.4
YEL038W,67.5
YEL037C,143.8
YEL032W,33.3
YEL031W,151.1
YEL030W,0.7
YEL029C,20.8
YEL023C,0.1
YEL020C,3.2
YEL019C,6
YEL018W,16.9
YEL017W,35.7
YEL013W,68.4
YEL011W,5.3
YEL009C,92.8
YEL007W,32.5
YEL005C,5.2
YEL002C,162.9
YER002W,98.9
YER003C,295.9
YER006W,142.3
YER010C,18.8
YER014W,11.5
YER015W,2
YER016W,32.5
YER017C,23.1
YER021W,143.8
YER022W,24.9
YER023W,293.5
YER024W,0.7
YER026C,197.4
YER028C,5.9
YER039C,1
YER041W,4.3
YER043C,829.9
YER047C,6
YER048C,78.5
YER049W,93.7
YER052C,162.1
YER053C,5.5
YER054C,0.6
YER059W,11.3
YER065C,1.2
YER069W,12.8
YER076C,3.7
YER077C,6.1
YER080W,68
YER082C,36.2
YER083C,69.5
YER086W,152.1
YER089C,55.6
