GeneID,WT_1
YDL207W,12.4
YDL206W,2.2
YDL204W,0.7
YDL203C,12.1
YDL202W,30.7
YDL201W,68.7
YDL198C,58.8
YDL195W,127.4
YDL193W,37.5
YDL190C,29
YDL189W,24
YDL186W,0.2
YDL185W,561.7
YDL180W,10.7
YDL179W,20.4
YDL178W,38.7
YDL173W,47
YDL171C,87.9
YDL170W,7.1
YDL168W,94.6
YDL167C,24.4
YDL164C,20.1
YDL161W,34.3
YDL155W,14.8
YDL154W,0.2
YDL153C,52.8
YDL150W,29.1
YDL148C,41.4
YDL147W,141.1
YDL146W,7.3
YDL145C,138.8
YDL144C,25.9
YDL143W,153.2
YDL142C,11.7
YDL141W,24.3
YDL140C,94.2
YDL132W,38.3
YDL129W,6.3
YDL126C,419.4
YDL119C,7.8
YDL117W,13
YDL114W,0.1
YDL111C,41.9
YDL109C,0.7
YDL108W,20.2
YDL107W,5.7
YDL105W,7.1
YDL104C,3.6
YDL103C,55
YDL102W,19
YDL101C,13.9
YDL099W,39
YDL091C,7.2
YDL090C,12.7
YDL089W,10.7
YDL088C,19.1
YDL087C,11.3
YDL086W,69.5
YDL085W,0.4
YDL084W,448.2
YDL079C,0.1
YDL078C,107.2
YDL076C,23.2
YDL074C,26.7
YDL073W,8
YDL065C,31.9
YDL063C,32.6
YDL060W,45.3
YDL048C,1.5
YDL047W,51.3
YDL045C,17.4
YDL043C,17.7
YDL042C,13.2
YDL040C,82.2
YDL036C,13.2
YDL031W,38.2
YDL029W,132.5
YDL025C,9.4
YDL022W,137
YDL021W,6.2
YDL020C,34.1
YDL019C,18.3
YDL017W,5.7
YDL013W,7.8
YDL010W,39.7
YDL007W,303.3
YDL006W,20.8
YDL005C,23.1
YDL001W,11.8
YDR004W,4.2
YDR005C,17.1
YDR006C,11.9
YDR009W,1
YDR014W,5
YDR018C,0.5
YDR020C,17.2
YDR023W,518
YDR026C,8.2
YDR030C,3
YDR034C,10.2
YDR036C,36
YDR043C,9.5
YDR044W,85.5
YDR047W,42
YDR049W,13.8
YDR051C,26.5
YDR052C,13.1
YDR054C,68.4
YDR055W,75.7
YDR057W,14.5
YDR058C,4.5
YDR061W,17
YDR065W,6.7
YDR068W,31.1
YDR072C,37.3
YDR074W,29
YDR075W,17
YDR076W,3.1
YDR077W,750.5
YDR082W,3.4
YDR083W,42.6
YDR085C,2.1
YDR087C,69.6
YDR088C,13.4
YDR089W,16.3
YDR090C,23.5
YDR091C,125.3
YDR096W,6.7
YDR097C,18.7
YDR104C,2.6
YDR105C,19.2
YDR106W,1.6
YDR107C,12.1
YDR108W,7.3
YDR110W,15.3
YDR113C,19.7
YDR116C,29.9
YDR117C,29.7
YDR118W,5.4
YDR124W,0.2
YDR125C,1.4
YDR127W,78.4
YDR129C,146.2
YDR130C,10.8
YDR138W,14.9
YDR141C,15.9
YDR142C,6.1
YDR143C,21.4
YDR145W,28.2
YDR146C,25.2
YDR147W,15.1
YDR148C,70.4
YDR150W,20.3
YDR152W,69.6
YDR153C,37.3
YDR161W,62.7
YDR164C,17.2
YDR165W,67.8
YDR168W,93.1
YDR169C,13.7
YDR170C,54.3
YDR171W,25.6
YDR172W,186.2
YDR173C,10.5
YDR175C,28.5
YDR176W,13
YDR181C,7.2
YDR182W,37.5
YDR183W,15.6
YDR184C,20.7
YDR186C,16
YDR188W,153.7
YDR189W,41.8
YDR191W,5.6
YDR192C,17.5
YDR194C,49.4
YDR195W,14.6
YDR196C,22.8
YDR198C,9.2
YDR202C,12.6
YDR204W,21
YDR207C,9.2
YDR211W,60.8
YDR212W,168.3
YDR214W,131.6
YDR216W,2.8
YDR217C,7.5
YDR218C,0.1
YDR219C,17.4
YDR221W,24.2
YDR222W,13.6
YDR223W,0.3
YDR229W,16.7
YDR232W,84.2
YDR234W,47.3
YDR237W,33.3
YDR238C,120.2
YDR240C,11.1
YDR242W,0.7
YDR243C,8.6
YDR245W,62.3
YDR249C,4
YDR251W,22.2
YDR255C,4.6
YDR256C,0.2
YDR258C,33.5
YDR259C,1.3
YDR261C,27.6
YDR262W,38.1
YDR263C,0.8
YDR265W,7.3
YDR266C,32.1
YDR268W,14.2
YDR272W,71.5
YDR273W,1.7
YDR279W,18.7
YDR280W,43
YDR284C,49
YDR287W,18.7
YDR288W,8.1
YDR289C,20.8
YDR291W,5.3
YDR292C,41.5
YDR293C,39.7
YDR294C,41.3
YDR295C,11.4
YDR297W,74.8
YDR299W,38.3
YDR300C,66.7
YDR303C,23.3
YDR307W,18.2
YDR310C,14.1
YDR311W,13.9
YDR314C,1.3
YDR315C,3.9
YDR317W,2.1
YDR318W,6.7
YDR319C,12
YDR321W,176.6
YDR322W,25.8
YDR324C,43
YDR325W,8.9
YDR329C,15.6
YDR331W,39.4
YDR332W,3.9
YDR333C,20.3
YDR334W,5.9
YDR336W,4.8
YDR337W,30.8
YDR338C,6
YDR341C,251.4
YDR346C,124.3
YDR347W,35.2
YDR348C,28.4
YDR352W,26.7
YDR354W,37.8
YDR356W,13.2
YDR358W,13.1
YDR361C,77
YDR365C,43
YDR371W,8.7
YDR372C,69.4
YDR374C,0.1
YDR380W,5.2
YDR383C,7.3
YDR387C,3.6
YDR388W,111.7
YDR391C,14.6
YDR393W,8.4
YDR394W,105.6
YDR395W,69.8
YDR398W,40.5
YDR400W,33.9
YDR402C,0.1
YDR405W,19.5
YDR407C,9.6
YDR410C,31.6
YDR412W,56.3
YDR414C,14
YDR415C,25.6
YDR416W,7.7
YDR423C,25.3
YDR427W,115.6
YDR429C,268.7
YDR430C,23.8
YDR432W,333.7
YDR434W,37.2
YDR435C,13
YDR436W,6.4
YDR440W,8.5
YDR444W,5.2
YDR446W,0.3
YDR448W,17.5
YDR449C,34.9
YDR452W,39.2
YDR458C,15.7
YDR459C,3.9
YDR460W,18
YDR463W,35.8
YDR465C,44.2
YDR472W,22.5
YDR477W,44.2
YDR479C,7.4
YDR480W,11.5
YDR481C,134.2
YDR483W,160.4
YDR484W,8.7
YDR485C,7.9
YDR486C,45.6
YDR489W,12.7
YDR490C,8.3
YDR492W,34.8
YDR497C,72.2
YDR498C,12.4
YDR503C,14.1
YDR505C,18.2
YDR506C,308.6
YDR515W,16.9
YDR516C,41.9
YDR517W,46
YDR518W,56.3
YDR522C,0.1
YDR523C,0.1
YDR528W,13.1
YDR530C,12.2
YDR531W,42
YDR532C,7.8
YDR533C,10.8
YDR538W,16.1
YDR539W,29.2
YEL072W,2.5
YEL071W,351.7
YEL065W,86.7
YEL064C,5.6
YEL062W,5.9
YEL061C,8.9
YEL060C,61.3
YEL058W,61.2
YEL056W,23.7
YEL055C,50.3
YEL053C,11
YEL052W,15.2
YEL051W,243.2
YEL050C,23
YEL047C,119.2
YEL046C,346.8
YEL043W,13.3
YEL042W,109.8
YEL038W,52.4
YEL037C,138.8
YEL032W,24.2
YEL031W,143.7
YEL030W,0.6
YEL029C,13.6
YEL025C,3.3
YEL019C,7.6
YEL018W,14.4
YEL017W,33.3
YEL016C,5.4
YEL015W,34
YEL013W,68.3
YEL009C,32.1
YEL007W,39.5
YEL006W,11.7
YEL005C,4.5
YEL004W,9.7
YEL002C,165
YER001W,33.8
YER002W,105
YER003C,246.9
YER005W,10
YER006W,126.9
YER007W,5.1
YER010C,22.2
YER013W,7.7
YER014W,15.8
YER016W,24.8
YER017C,18.7
YER019W,19.9
YER020W,14.5
YER021W,110.8
