GeneID,Phi
YBR283C,432.0499999999999
YBR286W,751.0999999999999
YBR288C,65.7
YBR289W,19.95
YBR293W,6
YBR294W,0.4
YBR298C,0.65
YCL064C,626.95
YCL063W,28
YCL061C,15.7
YCL059C,116.15
YCL058C,72.85
YCL054W,50.4
YCL048W,0.95
YCL047C,57.099999999999994
YCL045C,174.15
YCL038C,27.85
YCL034W,59
YCL030C,196.55
YCL029C,16.7
YCL028W,153.8
YCL026C-A,1.85
YCL018W,0.05
YCL017C,119.05
YCL016C,14.8
YCL014W,19.450000000000003
YCL004W,5.5
YCL001W-A,0.55
YCR004C,264.3
YCR005C,173.89999999999998
YCR007C,3.5999999999999996
YCR008W,25.15
YCR009C,246.5
YCR010C,1.3
YCR011C,78
YCR012W,5759.75
YCR014C,0.7000000000000001
YCR015C,19.450000000000003
YCR016W,64.25
YCR021C,4.35
YCR027C,26.9
YCR028C,31.5
YCR030C,47.05
YCR034W,402.2
YCR036W,54.45
YCR042C,24.9
YCR044C,61.099999999999994
YCR045C,1.05
YCR047C,29.9
YCR051W,47.8
YCR053W,637
YCR054C,24.05
YCR061W,59.400000000000006
YCR063W,12.75
YCR066W,10.05
YCR067C,49.45
YCR068W,16.9
YCR069W,138.3
YCR072C,39.95
YCR075C,29.15
YCR076C,29.45
YCR084C,112.6
YCR086W,30.85
YCR090C,101.85
YCR095C,30.950000000000003
YCR098C,1.7999999999999998
YCR101C,4.1
YDL239C,0.55
YDL238C,7.5
YDL237W,100.2
YDL236W,178.35
YDL234C,24.6
YDL230W,19
YDL225W,77.45
YDL222C,2.3499999999999996
YDL220C,7.7
YDL218W,0.55
YDL217C,62.9
YDL216C,10.5
YDL215C,36.35
YDL214C,0.25
YDL212W,296.3
YDL207W,20.4
YDL205C,58.95
YDL204W,4.45
YDL201W,70.5
YDL195W,176.2
YDL189W,35.4
YDL186W,0.25
YDL183C,10
YDL180W,25.15
YDL179W,30.1
YDL178W,65.25
YDL177C,12.65
YDL170W,12.15
YDL169C,6.550000000000001
YDL168W,121.5
YDL167C,37.5
YDL166C,91.75
YDL165W,102.25
YDL161W,60.75
YDL160C,254.95
YDL159W,18.799999999999997
YDL156W,11.95
YDL147W,265.9
YDL146W,15.15
YDL145C,223.15
YDL139C,9.2
YDL132W,84.95
YDL127W,30.1
YDL126C,623.85
YDL124W,283.55
YDL120W,88.55000000000001
YDL119C,18.7
YDL114W,0.35
YDL111C,71.80000000000001
YDL109C,2.45
YDL106C,37.35
YDL104C,8.149999999999999
YDL102W,32.6
YDL098C,32.15
YDL093W,57.6
YDL086W,91.2
YDL085W,1.25
YDL079C,0.45
YDL072C,291.29999999999995
YDL069C,11.3
YDL058W,38.95
YDL057W,11.15
YDL054C,38
YDL051W,184.9
YDL049C,5.2
YDL048C,1.75
YDL047W,66.8
YDL044C,19.85
YDL040C,136.95
YDL039C,0.7
YDL037C,1
YDL033C,7.85
YDL030W,19.7
YDL029W,276.45
YDL025C,18.3
YDL022W,228.75
YDL021W,23.65
YDL020C,71.15
YDL019C,30.85
YDL017W,14.1
YDL015C,355.9
YDL010W,79
YDL008W,46.05
YDL007W,262.7
YDL003W,50
YDL001W,19.65
YDR003W,37.1
YDR005C,24.85
YDR014W-A,1.6
YDR018C,1.25
YDR019C,118.1
YDR022C,19.4
YDR023W,808.6
YDR027C,24.75
YDR030C,6.45
YDR032C,473.2000000000001
YDR042C,1.5499999999999998
YDR043C,17.549999999999997
YDR044W,162.2
YDR046C,79.30000000000001
YDR047W,59.05
YDR054C,93.5
