# Created by: riboviz
# Date: 2025-11-20 20:15:32.331656
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ReadLen	Pos	Counts
27	-21	17
28	-21	20
29	-21	25
30	-21	37
31	-21	52
32	-21	56
33	-21	57
34	-21	72
35	-21	49
36	-21	45
37	-21	46
38	-21	42
39	-21	53
40	-21	47
41	-21	53
42	-21	18
43	-21	6
44	-21	3
45	-21	0
46	-21	0
47	-21	0
48	-21	0
49	-21	0
50	-21	0
10	-20	0
11	-20	0
12	-20	0
13	-20	0
14	-20	0
15	-20	0
16	-20	0
17	-20	0
18	-20	0
19	-20	0
20	-20	2
21	-20	4
22	-20	2
23	-20	7
24	-20	5
25	-20	5
26	-20	18
27	-20	28
28	-20	26
29	-20	19
30	-20	51
31	-20	55
32	-20	76
33	-20	107
34	-20	82
35	-20	52
36	-20	100
37	-20	78
38	-20	109
39	-20	165
40	-20	270
41	-20	137
42	-20	59
43	-20	4
44	-20	3
45	-20	0
46	-20	0
47	-20	0
48	-20	0
49	-20	0
50	-20	0
10	-19	0
11	-19	0
12	-19	0
13	-19	0
14	-19	0
15	-19	0
16	-19	0
17	-19	0
18	-19	0
19	-19	1
20	-19	3
21	-19	1
22	-19	7
23	-19	4
24	-19	4
25	-19	14
26	-19	41
27	-19	22
28	-19	27
29	-19	44
30	-19	54
31	-19	71
32	-19	119
33	-19	106
34	-19	132
35	-19	200
36	-19	152
37	-19	238
38	-19	448
39	-19	550
40	-19	506
41	-19	345
42	-19	64
43	-19	7
44	-19	1
45	-19	0
46	-19	1
47	-19	0
48	-19	0
49	-19	0
50	-19	0
10	-18	0
11	-18	0
12	-18	0
13	-18	0
14	-18	0
15	-18	0
16	-18	0
17	-18	0
18	-18	1
19	-18	0
20	-18	0
21	-18	0
22	-18	3
23	-18	6
24	-18	8
25	-18	27
26	-18	20
27	-18	24
28	-18	50
29	-18	48
30	-18	69
31	-18	116
32	-18	125
33	-18	200
34	-18	342
35	-18	299
36	-18	335
37	-18	754
38	-18	1075
39	-18	962
40	-18	1059
41	-18	326
42	-18	25
43	-18	3
44	-18	0
45	-18	0
46	-18	0
47	-18	0
48	-18	0
49	-18	0
50	-18	0
10	-17	0
11	-17	0
12	-17	0
13	-17	0
14	-17	0
15	-17	0
16	-17	0
17	-17	0
18	-17	1
19	-17	0
20	-17	1
21	-17	1
22	-17	1
23	-17	4
24	-17	23
25	-17	16
26	-17	27
27	-17	46
28	-17	44
29	-17	79
30	-17	126
31	-17	168
32	-17	364
33	-17	520
34	-17	377
35	-17	500
36	-17	1064
37	-17	1510
38	-17	1533
39	-17	1657
40	-17	725
41	-17	116
42	-17	18
43	-17	5
44	-17	2
45	-17	0
46	-17	0
47	-17	0
48	-17	0
49	-17	0
50	-17	0
10	-16	0
11	-16	0
12	-16	0
13	-16	0
14	-16	0
15	-16	0
16	-16	0
17	-16	0
18	-16	0
19	-16	2
20	-16	2
21	-16	0
22	-16	4
23	-16	13
24	-16	14
25	-16	14
26	-16	53
27	-16	44
28	-16	78
29	-16	113
30	-16	152
31	-16	308
32	-16	452
33	-16	399
34	-16	607
35	-16	1304
36	-16	1832
37	-16	1933
38	-16	2009
39	-16	952
40	-16	257
41	-16	66
42	-16	8
43	-16	2
44	-16	0
45	-16	0
46	-16	0
47	-16	0
48	-16	0
49	-16	0
50	-16	0
10	-15	0
11	-15	0
12	-15	0
13	-15	0
14	-15	0
15	-15	0
16	-15	0
17	-15	0
18	-15	1
19	-15	0
20	-15	1
21	-15	1
22	-15	6
23	-15	12
24	-15	13
25	-15	27
26	-15	44
27	-15	60
28	-15	107
29	-15	121
30	-15	213
31	-15	389
32	-15	409
33	-15	557
34	-15	1300
35	-15	1777
36	-15	1888
37	-15	2225
38	-15	1080
39	-15	310
40	-15	143
41	-15	42
42	-15	6
43	-15	1
44	-15	1
45	-15	0
46	-15	1
47	-15	0
48	-15	0
49	-15	0
50	-15	0
10	-14	0
11	-14	0
12	-14	0
13	-14	0
14	-14	0
15	-14	1
16	-14	0
17	-14	0
18	-14	0
19	-14	0
20	-14	0
21	-14	4
22	-14	6
23	-14	5
24	-14	24
25	-14	22
26	-14	47
27	-14	84
28	-14	107
29	-14	191
30	-14	325
31	-14	360
32	-14	583
33	-14	1222
34	-14	1691
35	-14	1927
36	-14	2263
37	-14	1161
38	-14	461
39	-14	268
40	-14	134
41	-14	38
42	-14	12
43	-14	2
44	-14	1
45	-14	0
46	-14	0
47	-14	0
48	-14	0
49	-14	0
50	-14	0
10	-13	0
11	-13	0
12	-13	0
13	-13	0
14	-13	0
15	-13	0
16	-13	1
17	-13	0
18	-13	0
19	-13	1
20	-13	1
21	-13	5
22	-13	2
23	-13	10
24	-13	13
25	-13	32
26	-13	63
27	-13	78
28	-13	127
29	-13	262
30	-13	284
31	-13	520
32	-13	1180
33	-13	1775
34	-13	1990
35	-13	2110
36	-13	1080
37	-13	508
38	-13	374
39	-13	156
40	-13	79
41	-13	29
42	-13	2
43	-13	1
44	-13	1
45	-13	0
46	-13	0
47	-13	0
48	-13	0
49	-13	0
50	-13	0
10	-12	0
11	-12	0
12	-12	0
13	-12	0
14	-12	0
15	-12	0
16	-12	0
17	-12	0
18	-12	0
19	-12	1
20	-12	1
21	-12	3
22	-12	9
23	-12	6
24	-12	26
25	-12	71
26	-12	94
27	-12	218
28	-12	366
29	-12	470
30	-12	894
31	-12	2207
32	-12	3082
33	-12	3637
34	-12	4193
35	-12	2237
36	-12	856
37	-12	484
38	-12	257
39	-12	155
40	-12	128
41	-12	26
42	-12	11
43	-12	1
44	-12	1
45	-12	0
46	-12	0
47	-12	0
48	-12	0
49	-12	0
50	-12	0
10	-11	0
11	-11	0
12	-11	0
13	-11	0
14	-11	0
15	-11	0
16	-11	0
17	-11	0
18	-11	0
19	-11	0
20	-11	1
21	-11	3
22	-11	4
23	-11	21
24	-11	41
25	-11	51
26	-11	143
27	-11	282
28	-11	379
29	-11	581
30	-11	1589
31	-11	2602
32	-11	3115
33	-11	3672
34	-11	1820
35	-11	759
36	-11	549
37	-11	354
38	-11	275
39	-11	215
40	-11	106
41	-11	30
42	-11	3
43	-11	1
44	-11	1
45	-11	0
46	-11	0
47	-11	0
48	-11	0
49	-11	0
50	-11	0
10	-10	0
11	-10	0
12	-10	0
13	-10	0
14	-10	0
15	-10	0
16	-10	0
17	-10	0
18	-10	1
19	-10	1
20	-10	3
21	-10	0
22	-10	9
23	-10	15
24	-10	19
25	-10	71
26	-10	140
27	-10	189
28	-10	260
29	-10	699
30	-10	1063
31	-10	1258
32	-10	1634
33	-10	935
34	-10	520
35	-10	518
36	-10	382
37	-10	408
38	-10	361
39	-10	213
40	-10	114
41	-10	39
42	-10	12
43	-10	0
44	-10	0
45	-10	0
46	-10	0
47	-10	0
48	-10	0
49	-10	0
50	-10	0
10	-9	0
11	-9	0
12	-9	0
13	-9	0
14	-9	0
15	-9	0
16	-9	0
17	-9	0
18	-9	0
19	-9	0
20	-9	2
21	-9	3
22	-9	11
23	-9	12
24	-9	39
25	-9	88
26	-9	97
27	-9	168
28	-9	317
29	-9	575
30	-9	682
31	-9	1121
32	-9	828
33	-9	835
34	-9	882
35	-9	623
36	-9	527
37	-9	495
38	-9	266
39	-9	184
40	-9	147
41	-9	66
42	-9	8
43	-9	1
44	-9	0
45	-9	0
46	-9	0
47	-9	0
48	-9	0
49	-9	0
50	-9	0
10	-8	0
11	-8	0
12	-8	0
13	-8	0
14	-8	0
15	-8	1
16	-8	0
17	-8	0
18	-8	0
19	-8	1
20	-8	3
21	-8	3
22	-8	11
23	-8	29
24	-8	89
25	-8	64
26	-8	118
27	-8	236
28	-8	371
29	-8	476
30	-8	753
31	-8	701
32	-8	679
33	-8	829
34	-8	598
35	-8	517
36	-8	607
37	-8	442
38	-8	375
39	-8	293
40	-8	172
41	-8	38
42	-8	11
43	-8	0
44	-8	0
45	-8	0
46	-8	0
47	-8	0
48	-8	0
49	-8	0
50	-8	0
10	-7	0
11	-7	0
12	-7	0
13	-7	0
14	-7	0
15	-7	0
16	-7	1
17	-7	0
18	-7	0
19	-7	1
20	-7	3
21	-7	5
22	-7	25
23	-7	55
24	-7	51
25	-7	96
26	-7	214
27	-7	351
28	-7	405
29	-7	539
30	-7	419
31	-7	361
32	-7	443
33	-7	460
34	-7	438
35	-7	583
36	-7	476
37	-7	436
38	-7	405
39	-7	218
40	-7	109
41	-7	42
42	-7	4
43	-7	0
44	-7	0
45	-7	0
46	-7	0
47	-7	0
48	-7	0
49	-7	0
50	-7	0
10	-6	0
11	-6	0
12	-6	0
13	-6	0
14	-6	0
15	-6	0
16	-6	0
17	-6	0
18	-6	1
19	-6	3
20	-6	1
21	-6	21
22	-6	29
23	-6	25
24	-6	62
25	-6	160
26	-6	311
27	-6	307
28	-6	521
29	-6	346
30	-6	375
31	-6	647
32	-6	829
33	-6	1022
34	-6	1159
35	-6	757
36	-6	509
37	-6	455
38	-6	268
39	-6	169
40	-6	79
41	-6	35
42	-6	4
43	-6	0
44	-6	0
45	-6	0
46	-6	0
47	-6	0
48	-6	0
49	-6	0
50	-6	0
10	-5	0
11	-5	0
12	-5	0
13	-5	0
14	-5	0
15	-5	0
16	-5	0
17	-5	0
18	-5	1
19	-5	0
20	-5	7
21	-5	16
22	-5	10
23	-5	38
24	-5	121
25	-5	270
26	-5	347
27	-5	452
28	-5	295
29	-5	278
30	-5	549
31	-5	650
32	-5	884
33	-5	1030
34	-5	656
35	-5	487
36	-5	426
37	-5	271
38	-5	212
39	-5	180
40	-5	63
41	-5	23
42	-5	7
43	-5	0
44	-5	0
45	-5	0
46	-5	0
47	-5	0
48	-5	0
49	-5	0
50	-5	0
10	-4	0
11	-4	0
12	-4	0
13	-4	0
14	-4	0
15	-4	0
16	-4	0
17	-4	2
18	-4	0
19	-4	4
20	-4	6
21	-4	1
22	-4	16
23	-4	69
24	-4	181
25	-4	234
26	-4	304
27	-4	208
28	-4	130
29	-4	218
30	-4	284
31	-4	366
32	-4	611
33	-4	510
34	-4	450
35	-4	472
36	-4	324
37	-4	329
38	-4	329
39	-4	173
40	-4	89
41	-4	42
42	-4	4
43	-4	2
44	-4	1
45	-4	0
46	-4	0
47	-4	0
48	-4	0
49	-4	0
50	-4	0
10	-3	0
11	-3	0
12	-3	0
13	-3	0
14	-3	0
15	-3	0
16	-3	0
17	-3	0
18	-3	0
19	-3	5
20	-3	2
21	-3	16
22	-3	37
23	-3	94
24	-3	146
25	-3	220
26	-3	150
27	-3	107
28	-3	182
29	-3	213
30	-3	339
31	-3	707
32	-3	761
33	-3	978
34	-3	847
35	-3	588
36	-3	333
37	-3	311
38	-3	181
39	-3	110
40	-3	80
41	-3	23
42	-3	4
43	-3	0
44	-3	0
45	-3	0
46	-3	0
47	-3	0
48	-3	0
49	-3	0
50	-3	0
10	-2	0
11	-2	0
12	-2	0
13	-2	0
14	-2	0
15	-2	0
16	-2	0
17	-2	0
18	-2	0
19	-2	1
20	-2	5
21	-2	19
22	-2	46
23	-2	90
24	-2	178
25	-2	141
26	-2	104
27	-2	132
28	-2	140
29	-2	219
30	-2	537
31	-2	588
32	-2	850
33	-2	818
34	-2	576
35	-2	357
36	-2	281
37	-2	205
38	-2	148
39	-2	134
40	-2	72
41	-2	11
42	-2	5
43	-2	1
44	-2	0
45	-2	0
46	-2	0
47	-2	0
48	-2	0
49	-2	0
50	-2	0
10	-1	0
11	-1	0
12	-1	0
13	-1	0
14	-1	0
15	-1	0
16	-1	0
17	-1	0
18	-1	0
19	-1	2
20	-1	8
21	-1	33
22	-1	59
23	-1	128
24	-1	102
25	-1	77
26	-1	105
27	-1	106
28	-1	114
29	-1	225
30	-1	298
31	-1	432
32	-1	459
33	-1	366
34	-1	275
35	-1	321
36	-1	209
37	-1	193
38	-1	220
39	-1	144
40	-1	45
41	-1	21
42	-1	4
43	-1	0
44	-1	0
45	-1	0
46	-1	0
47	-1	0
48	-1	0
49	-1	0
50	-1	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	1
17	0	1
18	0	1
19	0	4
20	0	15
21	0	33
22	0	73
23	0	54
24	0	43
25	0	55
26	0	59
27	0	87
28	0	161
29	0	193
30	0	308
31	0	568
32	0	529
33	0	725
34	0	762
35	0	446
36	0	355
37	0	406
38	0	249
39	0	105
40	0	74
41	0	23
42	0	5
43	0	3
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
10	1	0
11	1	0
12	1	0
13	1	0
14	1	0
15	1	0
16	1	0
17	1	0
18	1	3
19	1	9
20	1	13
21	1	57
22	1	46
23	1	31
24	1	67
25	1	63
26	1	77
27	1	156
28	1	170
29	1	242
30	1	431
31	1	498
32	1	752
33	1	770
34	1	449
35	1	273
36	1	329
37	1	187
38	1	131
39	1	127
40	1	74
41	1	23
42	1	3
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
10	2	0
11	2	0
12	2	0
13	2	0
14	2	0
15	2	0
16	2	1
17	2	0
18	2	3
19	2	4
20	2	22
21	2	28
22	2	25
23	2	42
24	2	38
25	2	62
26	2	91
27	2	114
28	2	136
29	2	214
30	2	268
31	2	364
32	2	450
33	2	367
34	2	370
35	2	443
36	2	287
37	2	218
38	2	254
39	2	158
40	2	71
41	2	28
42	2	5
43	2	0
44	2	1
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
10	3	0
11	3	0
12	3	0
13	3	0
14	3	0
15	3	1
16	3	0
17	3	2
18	3	8
19	3	10
20	3	16
21	3	12
22	3	17
23	3	19
24	3	32
25	3	59
26	3	68
27	3	91
28	3	200
29	3	212
30	3	376
31	3	694
32	3	672
33	3	884
34	3	1174
35	3	682
36	3	470
37	3	539
38	3	345
39	3	249
40	3	171
41	3	62
42	3	5
43	3	0
44	3	0
45	3	0
46	3	0
47	3	0
48	3	0
49	3	0
50	3	0
10	4	0
11	4	0
12	4	0
13	4	0
14	4	0
15	4	0
16	4	3
17	4	4
18	4	4
19	4	1
20	4	3
21	4	12
22	4	8
23	4	22
24	4	52
25	4	43
26	4	65
27	4	101
28	4	107
29	4	186
30	4	413
31	4	427
32	4	635
33	4	709
34	4	443
35	4	182
36	4	213
37	4	151
38	4	122
39	4	108
40	4	38
41	4	13
42	4	4
43	4	1
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
10	5	0
11	5	0
12	5	0
13	5	0
14	5	0
15	5	0
16	5	0
17	5	1
18	5	1
19	5	4
20	5	5
21	5	10
22	5	5
23	5	27
24	5	35
25	5	53
26	5	74
27	5	72
28	5	92
29	5	162
30	5	239
31	5	318
32	5	486
33	5	387
34	5	265
35	5	321
36	5	241
37	5	199
38	5	242
39	5	120
40	5	67
41	5	30
42	5	8
43	5	0
44	5	0
45	5	0
46	5	1
47	5	0
48	5	0
49	5	0
50	5	0
10	6	0
11	6	0
12	6	0
13	6	0
14	6	0
15	6	0
16	6	1
17	6	3
18	6	0
19	6	3
20	6	7
21	6	11
22	6	26
23	6	17
24	6	28
25	6	55
26	6	50
27	6	73
28	6	138
29	6	158
30	6	285
31	6	558
32	6	675
33	6	764
34	6	936
35	6	636
36	6	381
37	6	361
38	6	240
39	6	156
40	6	87
41	6	37
42	6	3
43	6	0
44	6	0
45	6	0
46	6	0
47	6	0
48	6	0
49	6	0
50	6	0
10	7	0
11	7	0
12	7	0
13	7	0
14	7	0
15	7	1
16	7	1
17	7	0
18	7	3
19	7	4
20	7	3
21	7	8
22	7	16
23	7	13
24	7	39
25	7	42
26	7	50
27	7	104
28	7	112
29	7	222
30	7	484
31	7	592
32	7	729
33	7	994
34	7	616
35	7	336
36	7	352
37	7	189
38	7	191
39	7	132
40	7	86
41	7	28
42	7	6
43	7	0
44	7	1
45	7	0
46	7	0
47	7	0
48	7	0
49	7	0
50	7	0
10	8	0
11	8	0
12	8	0
13	8	0
14	8	0
15	8	0
16	8	0
17	8	1
18	8	0
19	8	0
20	8	11
21	8	4
22	8	11
23	8	25
24	8	36
25	8	43
26	8	72
27	8	66
28	8	81
29	8	176
30	8	245
31	8	294
32	8	438
33	8	411
34	8	306
35	8	299
36	8	157
37	8	178
38	8	148
39	8	120
40	8	59
41	8	31
42	8	6
43	8	0
44	8	0
45	8	0
46	8	0
47	8	0
48	8	0
49	8	0
50	8	0
10	9	0
11	9	0
12	9	0
13	9	0
14	9	0
15	9	0
16	9	0
17	9	1
18	9	2
19	9	4
20	9	4
21	9	5
22	9	16
23	9	18
24	9	29
25	9	46
26	9	37
27	9	70
28	9	105
29	9	160
30	9	224
31	9	572
32	9	683
33	9	842
34	9	875
35	9	534
36	9	349
37	9	258
38	9	204
39	9	97
40	9	108
41	9	36
42	9	3
43	9	2
44	9	1
45	9	0
46	9	0
47	9	0
48	9	0
49	9	0
50	9	0
10	10	0
11	10	0
12	10	0
13	10	0
14	10	0
15	10	2
16	10	0
17	10	0
18	10	0
19	10	0
20	10	5
21	10	10
22	10	11
23	10	23
24	10	32
25	10	37
26	10	60
27	10	92
28	10	117
29	10	181
30	10	642
31	10	682
32	10	916
33	10	923
34	10	599
35	10	391
36	10	277
37	10	282
38	10	178
39	10	184
40	10	110
41	10	27
42	10	5
43	10	0
44	10	0
45	10	0
46	10	0
47	10	0
48	10	0
49	10	0
50	10	0
10	11	0
11	11	0
12	11	0
13	11	0
14	11	0
15	11	0
16	11	0
17	11	0
18	11	1
19	11	1
20	11	8
21	11	1
22	11	14
23	11	31
24	11	33
25	11	42
26	11	77
27	11	78
28	11	96
29	11	242
30	11	283
31	11	395
32	11	576
33	11	355
34	11	416
35	11	340
36	11	332
37	11	247
38	11	310
39	11	198
40	11	76
41	11	45
42	11	5
43	11	1
44	11	0
45	11	0
46	11	0
47	11	0
48	11	0
49	11	0
50	11	0
10	12	0
11	12	0
12	12	0
13	12	0
14	12	0
15	12	0
16	12	0
17	12	2
18	12	1
19	12	1
20	12	3
21	12	6
22	12	7
23	12	22
24	12	28
25	12	45
26	12	45
27	12	72
28	12	153
29	12	191
30	12	322
31	12	612
32	12	693
33	12	1049
34	12	886
35	12	625
36	12	385
37	12	458
38	12	263
39	12	174
40	12	113
41	12	39
42	12	5
43	12	0
44	12	0
45	12	1
46	12	0
47	12	0
48	12	0
49	12	0
50	12	0
10	13	0
11	13	0
12	13	0
13	13	0
14	13	0
15	13	0
16	13	0
17	13	0
18	13	2
19	13	1
20	13	7
21	13	4
22	13	9
23	13	14
24	13	35
25	13	47
26	13	49
27	13	121
28	13	121
29	13	228
30	13	576
31	13	634
32	13	995
33	13	995
34	13	711
35	13	367
36	13	443
37	13	288
38	13	204
39	13	184
40	13	101
41	13	27
42	13	7
43	13	0
44	13	0
45	13	0
46	13	0
47	13	0
48	13	0
49	13	0
50	13	0
10	14	0
11	14	0
12	14	0
13	14	0
14	14	0
15	14	0
16	14	0
17	14	1
18	14	1
19	14	1
20	14	5
21	14	3
22	14	9
23	14	13
24	14	26
25	14	33
26	14	98
27	14	83
28	14	108
29	14	219
30	14	235
31	14	425
32	14	440
33	14	440
34	14	367
35	14	437
36	14	272
37	14	246
38	14	225
39	14	142
40	14	63
41	14	24
42	14	1
43	14	0
44	14	0
45	14	0
46	14	0
47	14	0
48	14	0
49	14	0
50	14	0
10	15	0
11	15	0
12	15	0
13	15	0
14	15	0
15	15	0
16	15	0
17	15	0
18	15	0
19	15	1
20	15	3
21	15	5
22	15	6
23	15	14
24	15	13
25	15	52
26	15	55
27	15	77
28	15	134
29	15	159
30	15	406
31	15	626
32	15	824
33	15	854
34	15	1233
35	15	735
36	15	479
37	15	382
38	15	192
39	15	135
40	15	114
41	15	51
42	15	4
43	15	0
44	15	0
45	15	0
46	15	0
47	15	0
48	15	0
49	15	0
50	15	0
10	16	0
11	16	0
12	16	0
13	16	0
14	16	0
15	16	0
16	16	0
17	16	1
18	16	1
19	16	0
20	16	1
21	16	8
22	16	7
23	16	10
24	16	31
25	16	43
26	16	58
27	16	119
28	16	136
29	16	287
30	16	482
31	16	882
32	16	947
33	16	1287
34	16	739
35	16	446
36	16	371
37	16	235
38	16	200
39	16	195
40	16	108
41	16	24
42	16	6
43	16	1
44	16	0
45	16	0
46	16	0
47	16	0
48	16	0
49	16	0
50	16	0
10	17	0
11	17	0
12	17	0
13	17	0
14	17	0
15	17	0
16	17	0
17	17	0
18	17	1
19	17	1
20	17	1
21	17	7
22	17	9
23	17	26
24	17	39
25	17	35
26	17	89
27	17	63
28	17	139
29	17	207
30	17	301
31	17	417
32	17	733
33	17	535
34	17	373
35	17	402
36	17	279
37	17	289
38	17	180
39	17	133
40	17	68
41	17	30
42	17	7
43	17	1
44	17	1
45	17	0
46	17	0
47	17	0
48	17	0
49	17	0
50	17	0
10	18	0
11	18	0
12	18	0
13	18	0
14	18	0
15	18	0
16	18	0
17	18	1
18	18	0
19	18	1
20	18	2
21	18	5
22	18	23
23	18	16
24	18	24
25	18	36
26	18	48
27	18	88
28	18	132
29	18	255
30	18	323
31	18	953
32	18	948
33	18	1058
34	18	1245
35	18	698
36	18	425
37	18	354
38	18	222
39	18	133
40	18	93
41	18	40
42	18	9
43	18	0
44	18	0
45	18	0
46	18	0
47	18	0
48	18	0
49	18	0
50	18	0
10	19	0
11	19	0
12	19	0
13	19	0
14	19	0
15	19	0
16	19	0
17	19	0
18	19	0
19	19	0
20	19	1
21	19	6
22	19	14
23	19	15
24	19	33
25	19	38
26	19	90
27	19	111
28	19	171
29	19	270
30	19	779
31	19	806
32	19	983
33	19	1171
34	19	730
35	19	435
36	19	377
37	19	274
38	19	232
39	19	183
40	19	108
41	19	27
42	19	7
43	19	0
44	19	1
45	19	0
46	19	0
47	19	0
48	19	0
49	19	0
50	19	0
10	20	0
11	20	0
12	20	0
13	20	0
14	20	0
15	20	0
16	20	0
17	20	0
18	20	0
19	20	2
20	20	0
21	20	6
22	20	10
23	20	25
24	20	18
25	20	69
26	20	75
27	20	96
28	20	101
29	20	292
30	20	332
31	20	398
32	20	531
33	20	459
34	20	405
35	20	349
36	20	331
37	20	240
38	20	214
39	20	190
40	20	84
41	20	62
42	20	14
43	20	0
44	20	0
45	20	0
46	20	0
47	20	0
48	20	0
49	20	0
50	20	0
10	21	0
11	21	0
12	21	0
13	21	0
14	21	0
15	21	0
16	21	0
17	21	0
18	21	0
19	21	5
20	21	7
21	21	7
22	21	9
23	21	13
24	21	32
25	21	35
26	21	59
27	21	82
28	21	191
29	21	211
30	21	320
31	21	705
32	21	893
33	21	1102
34	21	1167
35	21	745
36	21	431
37	21	371
38	21	273
39	21	155
40	21	136
41	21	46
42	21	3
43	21	2
44	21	0
45	21	0
46	21	0
47	21	0
48	21	0
49	21	0
50	21	0
10	22	0
11	22	0
12	22	0
13	22	0
14	22	0
15	22	0
16	22	0
17	22	1
18	22	0
19	22	0
20	22	0
21	22	4
22	22	5
23	22	25
24	22	40
25	22	44
26	22	62
27	22	160
28	22	134
29	22	268
30	22	609
31	22	752
32	22	1073
33	22	1134
34	22	743
35	22	437
36	22	366
37	22	315
38	22	242
39	22	238
40	22	86
41	22	29
42	22	5
43	22	1
44	22	1
45	22	0
46	22	0
47	22	0
48	22	0
49	22	0
50	22	0
10	23	0
11	23	0
12	23	0
13	23	0
14	23	0
15	23	0
16	23	0
17	23	0
18	23	0
19	23	0
20	23	4
21	23	7
22	23	17
23	23	15
24	23	33
25	23	50
26	23	99
27	23	102
28	23	127
29	23	235
30	23	321
31	23	456
32	23	571
33	23	464
34	23	402
35	23	449
36	23	328
37	23	251
38	23	365
39	23	148
40	23	60
41	23	33
42	23	13
43	23	2
44	23	0
45	23	0
46	23	0
47	23	0
48	23	0
49	23	0
50	23	0
10	24	0
11	24	0
12	24	0
13	24	0
14	24	0
15	24	0
16	24	0
17	24	0
18	24	0
19	24	1
20	24	2
21	24	6
22	24	11
23	24	24
24	24	28
25	24	78
26	24	57
27	24	79
28	24	164
29	24	207
30	24	391
31	24	687
32	24	794
33	24	1121
34	24	1209
35	24	760
36	24	443
37	24	448
38	24	240
39	24	148
40	24	107
41	24	42
42	24	6
43	24	1
44	24	0
45	24	1
46	24	0
47	24	1
48	24	0
49	24	0
50	24	0
10	25	0
11	25	0
12	25	0
13	25	0
14	25	0
15	25	0
16	25	0
17	25	0
18	25	0
19	25	1
20	25	3
21	25	19
22	25	13
23	25	11
24	25	49
25	25	42
26	25	57
27	25	134
28	25	165
29	25	242
30	25	528
31	25	732
32	25	1073
33	25	1254
34	25	848
35	25	490
36	25	453
37	25	271
38	25	202
39	25	209
40	25	117
41	25	22
42	25	9
43	25	1
44	25	0
45	25	0
46	25	0
47	25	0
48	25	0
49	25	0
50	25	0
10	26	0
11	26	0
12	26	0
13	26	0
14	26	0
15	26	0
16	26	0
17	26	0
18	26	1
19	26	0
20	26	3
21	26	8
22	26	10
23	26	36
24	26	31
25	26	39
26	26	93
27	26	80
28	26	112
29	26	219
30	26	272
31	26	479
32	26	644
33	26	540
34	26	439
35	26	559
36	26	289
37	26	228
38	26	295
39	26	190
40	26	84
41	26	43
42	26	8
43	26	2
44	26	0
45	26	1
46	26	0
47	26	0
48	26	0
49	26	0
50	26	0
10	27	0
11	27	0
12	27	0
13	27	0
14	27	0
15	27	0
16	27	0
17	27	0
18	27	0
19	27	1
20	27	2
21	27	4
22	27	17
23	27	14
24	27	29
25	27	61
26	27	65
27	27	82
28	27	132
29	27	200
