# Created by: riboviz
# Date: 2025-11-20 20:15:32.331656
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ReadLen	Pos	Counts
10	-24	0
11	-24	0
12	-24	0
13	-24	0
14	-24	0
15	-24	0
16	-24	0
17	-24	0
18	-24	0
19	-24	0
20	-24	0
21	-24	2
22	-24	2
23	-24	2
24	-24	5
25	-24	10
26	-24	3
27	-24	18
28	-24	19
29	-24	12
30	-24	25
31	-24	72
32	-24	51
33	-24	54
34	-24	51
35	-24	40
36	-24	36
37	-24	31
38	-24	18
39	-24	11
40	-24	11
41	-24	7
42	-24	1
43	-24	0
44	-24	0
45	-24	1
46	-24	1
47	-24	0
48	-24	0
49	-24	0
50	-24	0
10	-23	0
11	-23	0
12	-23	0
13	-23	0
14	-23	0
15	-23	0
16	-23	0
17	-23	0
18	-23	1
19	-23	1
20	-23	1
21	-23	0
22	-23	1
23	-23	3
24	-23	14
25	-23	4
26	-23	21
27	-23	14
28	-23	4
29	-23	19
30	-23	42
31	-23	46
32	-23	57
33	-23	60
34	-23	46
35	-23	33
36	-23	29
37	-23	28
38	-23	21
39	-23	14
40	-23	9
41	-23	1
42	-23	2
43	-23	0
44	-23	0
45	-23	1
46	-23	1
47	-23	0
48	-23	0
49	-23	0
50	-23	0
10	-22	0
11	-22	0
12	-22	0
13	-22	0
14	-22	0
15	-22	0
16	-22	0
17	-22	0
18	-22	0
19	-22	0
20	-22	2
21	-22	0
22	-22	1
23	-22	1
24	-22	0
25	-22	13
26	-22	12
27	-22	9
28	-22	11
29	-22	31
30	-22	33
31	-22	54
32	-22	68
33	-22	60
34	-22	53
35	-22	48
36	-22	49
37	-22	22
38	-22	33
39	-22	17
40	-22	13
41	-22	6
42	-22	3
43	-22	2
44	-22	2
45	-22	0
46	-22	0
47	-22	1
48	-22	0
49	-22	0
50	-22	0
10	-21	0
11	-21	0
12	-21	0
13	-21	0
14	-21	0
15	-21	0
16	-21	0
17	-21	0
18	-21	0
19	-21	0
20	-21	0
21	-21	2
22	-21	2
23	-21	0
24	-21	12
25	-21	13
26	-21	11
