# Created by: riboviz
# Date: 2025-11-20 22:00:12.657421
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	OTTR_P1_2
YBR002C	32.6
YBR003W	39.9
YBR004C	40.9
YBR005W	23.9
YBR006W	27
YBR007C	14
YBR008C	1.6
YBR009C	1814.4
YBR010W	1296.6
YBR011C	1642.1
YBR013C	63.2
YBR014C	113.6
YBR015C	116.4
YBR016W	158.1
YBR017C	82.6
YBR018C	1
YBR019C	0.6
YBR020W	0.1
YBR021W	8.2
YBR022W	49
YBR023C	39.6
YBR024W	30.5
YBR025C	960.3
YBR026C	120.7
YBR028C	32.1
YBR029C	112.3
YBR030W	28
YBR031W	2264.5
YBR033W	0.5
YBR034C	146.4
YBR035C	227.9
YBR036C	167.9
YBR037C	49.5
YBR038W	54.3
YBR039W	227.4
YBR040W	0.9
YBR041W	82.5
YBR042C	68.5
YBR043C	8.2
YBR044C	13.7
YBR045C	1.6
YBR046C	100.7
YBR047W	46.3
YBR048W	1806.9
YBR049C	69.4
YBR050C	2.8
YBR052C	192.1
YBR053C	84.2
YBR054W	31.9
YBR055C	16.1
YBR056W	78.3
YBR056W-A	17.3
YBR057C	38.1
YBR058C	47
YBR058C-A	248.4
YBR059C	40.2
YBR060C	20.7
YBR061C	57.7
YBR062C	70.1
YBR063C	1.1
YBR065C	18.4
YBR066C	64.1
YBR067C	659.8
YBR068C	188.4
YBR069C	6.1
YBR070C	27.5
YBR071W	37.7
YBR072C-A	4.2
YBR072W	87.1
YBR073W	42.5
YBR074W	62.1
YBR076W	0.7
YBR077C	92.5
YBR078W	1537.6
YBR079C	255.1
YBR080C	116.2
YBR081C	25.8
YBR082C	867.8
YBR083W	15.9
YBR084C-A	1982.7
YBR084W	103.1
YBR085C-A	219.2
YBR085W	35.2
YBR086C	152
YBR087W	69.2
YBR088C	295.1
YBR089C-A	215.2
YBR090C	203
YBR091C	79.1
YBR092C	168.6
YBR093C	92.5
YBR094W	43.9
YBR095C	29.5
YBR096W	275.7
YBR097W	16.5
YBR098W	8.8
YBR101C	173.7
YBR102C	23.6
YBR103W	27.1
YBR104W	44.4
YBR105C	30.2
YBR106W	1210.1
YBR107C	9.7
YBR108W	13.2
YBR109C	759.7
YBR110W	79.1
YBR111C	192.3
YBR111W-A	108.7
YBR112C	58.7
YBR114W	6.4
YBR115C	92
YBR117C	0.6
YBR118W	7792.1
YBR119W	21
YBR120C	62.2
