# Created by: riboviz
# Date: 2025-10-03 21:18:20.670599
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	OTTR_P1_1
Q0045	7.6
Q0050	7.4
Q0055	6.8
Q0060	6.6
Q0065	7.4
Q0070	7.1
Q0075	8.9
Q0080	21.9
Q0085	15.9
Q0105	10.7
Q0110	7.9
Q0115	7.8
Q0120	8.6
Q0130	24.3
Q0140	11.9
Q0160	0
Q0250	14
Q0255	8.4
Q0275	16.6
YAL001C	17.5
YAL002W	9.4
YAL003W	2791.7
YAL005C	3785.6
YAL007C	303.2
YAL008W	60.5
YAL009W	17.8
YAL010C	16.1
YAL011W	16
YAL012W	591.1
YAL013W	17.5
YAL014C	19
YAL015C	13.1
YAL016W	158.2
YAL017W	23.1
YAL018C	0.4
YAL019W	28.7
YAL020C	5.7
YAL021C	54.8
YAL022C	43.2
YAL023C	215.3
YAL024C	12.9
YAL025C	67.8
YAL026C	40.7
YAL027W	19.1
YAL028W	3.4
YAL029C	27.8
YAL030W	77.6
YAL031C	14.3
YAL032C	13.9
YAL033W	45.7
YAL034C	3.5
YAL034W-A	13.8
YAL035W	93.1
YAL036C	123.1
YAL037C-A	3.6
YAL037W	2.9
YAL038W	6502.5
YAL039C	28.6
YAL040C	16.6
YAL041W	32.9
YAL042W	150.1
YAL043C	30.6
YAL044C	438.3
YAL044W-A	58.9
YAL046C	48
YAL047C	15.9
YAL048C	13.4
YAL049C	80.7
YAL051W	21.9
YAL053W	64.9
YAL054C	0.7
YAL055W	15.9
YAL056W	13.4
YAL058W	21.7
YAL059W	51
YAL060W	100.8
YAL061W	42
YAL062W	2.7
YAL063C	0.8
YAL063C-A	4.1
YAL064C-A	2
YAL064W	0.8
YAL064W-B	2.3
YAL065C	1.2
YAL067C	1.1
YAL067W-A	1.8
YAL068C	1.8
YAR002C-A	399
YAR002W	61
YAR003W	17.2
YAR007C	88.2
YAR008W	23.9
YAR014C	25
YAR015W	246
YAR018C	21.3
YAR019C	9.8
YAR020C	20.9
YAR023C	2.3
YAR027W	88.7
YAR028W	35.1
YAR029W	2.3
YAR031W	28.5
YAR033W	27.1
YAR035C-A	1
YAR035W	1.8
YAR042W	28.1
YAR050W	0.5
YAR064W	0
YAR066W	33.2
YAR068W	10.1
YAR071W	326.9
YBL001C	250
YBL002W	1324.3
YBL003C	1212
YBL004W	50.8
YBL005W	33.9
YBL006C	45.5
YBL007C	104.8
YBL008W	14.2
YBL008W-A	17.9
YBL009W	28.3
YBL010C	17.4
YBL011W	33.7
YBL013W	4
YBL014C	8.9
YBL015W	21.8
YBL016W	26.1
YBL017C	70.4
YBL018C	73.8
YBL019W	7.8
YBL020W	36.5
YBL021C	28
YBL022C	84
YBL023C	31.9
YBL024W	152.7
YBL025W	25.8
YBL026W	249.2
YBL027W	2351.9
YBL028C	198
YBL029C-A	29
YBL029W	1.9
YBL030C	571.6
YBL031W	12.1
YBL032W	137
YBL033C	39.5
YBL034C	15.9
YBL035C	26.1
YBL036C	149.2
YBL037W	30.3
YBL038W	65.8
YBL039C	201.5
YBL039W-B	19.3
YBL040C	249.8
YBL041W	343.7
YBL042C	31.1
YBL043W	1.2
YBL044W	0.9
YBL045C	96.2
YBL046W	25.2
YBL047C	118.5
YBL049W	5.1
YBL050W	140.5
YBL051C	118.4
YBL052C	9.8
YBL054W	17.5
YBL055C	28.7
YBL056W	160.1
YBL057C	74.5
YBL058W	175.1
YBL059C-A	88.8
YBL059W	30.6
YBL060W	9.2
YBL061C	28.6
YBL063W	13.2
YBL064C	89.9
YBL066C	6.5
YBL067C	28.9
YBL068W	90.9
YBL069W	38.6
YBL071C-B	3.4
YBL071W-A	64.6
YBL072C	3113.7
YBL074C	11.9
YBL075C	1.9
YBL076C	565.5
YBL078C	53.9
YBL079W	47.6
YBL080C	11.9
YBL081W	22.9
YBL082C	31.7
YBL084C	16.3
YBL085W	27.4
YBL086C	18
YBL087C	1899.4
YBL088C	3.7
YBL089W	19.7
YBL090W	74.4
YBL091C	132.5
YBL091C-A	47.4
YBL092W	3161.7
YBL093C	66.9
YBL095W	10
YBL097W	17
YBL098W	22.7
YBL099W	326.3
YBL100W-C	1.5
YBL101C	23.3
YBL102W	115.1
YBL103C	22.2
YBL104C	18.1
YBL105C	27.5
YBL106C	12
YBL107C	38.2
YBL108C-A	13.5
YBL111C	1.8
YBL112C	0.3
YBL113C	0.5
YBR001C	20.5
YBR002C	31.4
