# Created by: riboviz
# Date: 2025-10-03 21:18:20.670599
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	OTTR_P1_1
YBR003W	39.6
YBR004C	42.7
YBR005W	19.4
YBR006W	24.1
YBR007C	13.2
YBR008C	1.5
YBR009C	1803.3
YBR010W	1306.3
YBR011C	1682.5
YBR013C	65.8
YBR014C	123.7
YBR015C	115.9
YBR016W	160.7
YBR017C	84.2
YBR018C	0.7
YBR019C	0.6
YBR020W	0
YBR021W	7.1
YBR022W	54.4
YBR023C	38
YBR024W	29.2
YBR025C	930.9
YBR026C	111.9
YBR028C	30.1
YBR029C	106.6
YBR030W	32.5
YBR031W	2445.4
YBR033W	0.4
YBR034C	141.1
YBR035C	219
YBR036C	156.8
YBR037C	51.6
YBR038W	53.9
YBR039W	211.9
YBR040W	0.7
YBR041W	73.6
YBR042C	64.3
YBR043C	9.9
YBR044C	13
YBR045C	1.2
YBR046C	95.4
YBR047W	42.4
YBR048W	1853.7
YBR049C	62.1
YBR050C	1.2
YBR052C	175.5
YBR053C	77.3
YBR054W	29
YBR055C	15.8
YBR056W	74.8
YBR056W-A	20.7
YBR057C	38
YBR058C	44.6
YBR058C-A	230.1
YBR059C	38.1
YBR060C	18.1
YBR061C	50.4
YBR062C	55.5
YBR063C	1.1
YBR065C	17.9
YBR066C	60.7
YBR067C	677.5
YBR068C	182.2
YBR069C	5.1
YBR070C	31.5
YBR071W	47.2
YBR072C-A	4.2
YBR072W	78.9
YBR073W	42.1
YBR074W	55.6
YBR076W	0.2
YBR077C	78.8
YBR078W	1591.8
YBR079C	243.5
YBR080C	109.8
YBR081C	23.9
YBR082C	941.7
YBR083W	19.8
YBR084C-A	2000.1
YBR084W	96
YBR085C-A	196.7
YBR085W	34.4
YBR086C	144.4
YBR087W	71
YBR088C	296.1
YBR089C-A	182.6
YBR090C	180.6
YBR091C	85.9
YBR092C	167.5
YBR093C	91.7
YBR094W	40.4
YBR095C	26.7
YBR096W	261.6
YBR097W	14.2
YBR098W	7.2
YBR101C	168.2
YBR102C	22.6
YBR103W	25.8
YBR104W	44.5
YBR105C	30.8
YBR106W	1248.4
YBR107C	9.2
YBR108W	13.1
YBR109C	719.3
YBR110W	73.6
YBR111C	182.2
YBR111W-A	83.9
YBR112C	58.3
YBR114W	5.3
YBR115C	89
YBR117C	0.7
YBR118W	8043.7
YBR119W	22
YBR120C	55.7
YBR121C	568.4
YBR122C	85
YBR123C	22
YBR125C	35.7
YBR126C	160.7
YBR126W-A	203.7
YBR127C	751.4
YBR128C	5
YBR129C	35.8
YBR130C	63.9
YBR131W	12.2
YBR132C	35.3
YBR133C	25.2
YBR135W	55
YBR136W	8.1
YBR137W	96.4
YBR138C	12.5
YBR139W	103.9
YBR140C	18.9
YBR141C	12.6
YBR142W	47.7
YBR143C	463.6
YBR145W	23.9
YBR146W	98.7
YBR147W	3.9
YBR148W	2.1
YBR149W	238.6
YBR150C	14.1
YBR151W	58.6
YBR152W	9.5
YBR153W	15
YBR154C	226.6
YBR155W	57.9
YBR156C	9.3
YBR157C	22.1
YBR158W	58.3
YBR159W	296.7
YBR160W	64.5
YBR161W	25.4
YBR162C	765.2
YBR162W-A	298.9
YBR163W	9.7
YBR164C	223.9
YBR165W	37.2
YBR166C	62.8
YBR167C	31.1
YBR168W	10.9
YBR169C	37.6
YBR170C	60.7
YBR171W	158.3
YBR172C	35.7
YBR173C	195.1
YBR175W	25
YBR176W	42.8
YBR177C	87.3
YBR179C	26.8
YBR180W	0.5
YBR181C	2786.7
YBR182C	2.7
YBR182C-A	0.5
YBR183W	8.9
YBR184W	4.1
YBR185C	49.2
YBR186W	1.5
YBR187W	159.7
YBR188C	30.8
YBR189W	2818.1
YBR191W	2498
YBR192W	37.6
YBR193C	33.7
YBR194W	23.6
YBR195C	28.7
YBR196C	2488.5
YBR196C-A	1435.7
YBR196C-B	3.3
YBR197C	14.3
YBR198C	43.5
YBR199W	161.4
YBR200W	38.3
YBR200W-A	0
YBR201C-A	13.4
YBR201W	34.2
YBR202W	40.3
YBR203W	1.5
YBR204C	25.3
YBR205W	172.1
YBR207W	93.2
YBR208C	21.8
YBR210W	63.5
YBR211C	30.7
YBR212W	41.3
YBR213W	14.6
YBR214W	43.6
YBR215W	19
YBR216C	28.8
YBR217W	9
YBR218C	105.8
YBR219C	30.2
YBR220C	31.5
YBR221C	614.3
YBR221W-A	0
YBR222C	88.6
YBR223C	6
YBR225W	9.5
YBR227C	32.6
YBR228W	5.7
YBR229C	62.7
YBR230C	99.3
YBR230W-A	23.2
YBR231C	15.2
YBR233W	25.1
YBR233W-A	39.9
YBR234C	164.6
YBR235W	21.1
YBR236C	42.9
YBR237W	7.2
YBR238C	30.2
YBR239C	6.6
YBR240C	1.4
YBR241C	16.1
YBR242W	40.4
YBR243C	60.1
YBR244W	315.7
YBR245C	46.7
YBR246W	31.1
YBR247C	66.3
YBR248C	83.9
YBR249C	459.4
YBR250W	0.5
YBR251W	58.8
YBR252W	145.3
YBR253W	43
YBR254C	57.4
YBR255C-A	34.8
YBR255W	8.6
YBR256C	79.5
YBR257W	33.5
YBR258C	16.8
YBR259W	6
YBR260C	32.6
YBR261C	76.1
YBR262C	71
YBR263W	288.4
YBR264C	28.6
YBR265W	75.9
YBR267W	39.9
YBR268W	79.1
YBR269C	73.3
YBR270C	4.9
YBR271W	20.8
YBR272C	34.8
YBR273C	39.3
YBR274W	17.2
YBR275C	15.3
YBR276C	12.5
YBR278W	24.7
YBR279W	58.6
YBR280C	12.4
YBR281C	35.4
YBR282W	72.5
YBR283C	430.4
YBR284W	2.5
YBR285W	3.1
YBR286W	745.9
YBR287W	83.7
YBR288C	62.4
YBR289W	20
YBR290W	49.8
YBR291C	17.4
YBR293W	6
YBR294W	0.6
YBR295W	6
YBR296C	30.6
YBR296C-A	0.7
YBR297W	6.5
YBR298C	0.5
YBR298C-A	2.3
YBR299W	2.5
YBR301W	10.7
YBR302C	80.3
YCL001W	210.7
YCL001W-A	0.7
YCL001W-B	2.1
YCL002C	16.8
YCL004W	5.1
YCL005W	23.4
YCL005W-A	356.8
YCL008C	34
YCL009C	269.8
YCL010C	26.4
YCL011C	88.9
YCL012C	49.8
YCL014W	19.6
YCL016C	14.4
YCL017C	117.3
YCL018W	0.1
YCL021W-A	50.3
YCL024W	10.6
YCL025C	20.3
YCL026C-A	1.6
YCL026C-B	27.6
YCL027W	5.6
YCL028W	151
YCL029C	16.2
YCL030C	192.9
YCL031C	110.4
YCL032W	20.1
YCL033C	49
YCL034W	58.7
YCL035C	318.7
YCL036W	6.3
YCL037C	207.6
YCL038C	25.5
YCL039W	17.6
YCL040W	186.3
YCL042W	179.9
YCL043C	818.8
YCL044C	35.9
YCL045C	170.5
YCL047C	52.3
YCL048W	0.8
YCL048W-A	0.9
YCL049C	41.6
YCL050C	536.8
YCL051W	13.1
YCL052C	29.6
YCL054W	49.3
YCL054W-A	91.4
YCL055W	36.5
YCL056C	17.6
YCL057C-A	143.7
YCL057W	150
YCL058C	69.2
YCL058W-A	18.3
YCL059C	111
YCL061C	15.1
YCL063W	28.2
YCL064C	625.3
YCL068C	6.6
YCL069W	1.1
YCL073C	0.8
YCR002C	186.2
YCR003W	86.2
YCR004C	266.1
YCR005C	167.6
YCR007C	3.3
YCR008W	24.6
YCR009C	229.8
YCR010C	1.3
YCR011C	74.4
YCR012W	5881.7
YCR014C	0.3
YCR015C	20.6
YCR016W	59.4
YCR017C	134.8
YCR018C	14.7
YCR019W	17.2
YCR020C	17.3
YCR020C-A	69.7
YCR020W-B	66
YCR021C	4.3
YCR023C	23
YCR024C	15.4
YCR024C-A	1546.1
YCR024C-B	808.4
YCR026C	37.6
YCR027C	24.7
YCR028C	31
YCR028C-A	709.8
YCR030C	48.1
YCR031C	2744.7
YCR032W	8.2
YCR033W	16.6
YCR034W	392
YCR035C	65.7
YCR036W	53.5
YCR037C	24.2
YCR038C	7.3
YCR039C	17.1
YCR040W	1.1
YCR041W	1.6
YCR042C	24.6
YCR043C	101.2
YCR044C	56.9
YCR045C	0.9
YCR046C	61.7
YCR047C	29.4
YCR048W	42.6
YCR050C	0.7
YCR051W	46.8
YCR052W	47.9
YCR053W	637.5
YCR054C	25.8
YCR057C	49.6
YCR059C	28.4
YCR060W	42.4
YCR061W	59.1
YCR063W	13
YCR065W	33.5
YCR066W	9.8
YCR067C	49.3
YCR068W	16.7
YCR069W	134.6
YCR071C	71.5
YCR072C	40
YCR073C	4.5
YCR073W-A	44.3
YCR075C	29.4
YCR075W-A	71.8
YCR076C	30
YCR077C	81.2
YCR079W	6
YCR081W	15.4
YCR082W	161.8
YCR083W	91.1
YCR084C	113.3
YCR086W	29.4
YCR087C-A	74.2
YCR088W	235.5
YCR089W	1.8
YCR090C	95.6
YCR091W	5.1
YCR092C	14.7
YCR093W	66.1
YCR094W	64
YCR095C	28.2
YCR095W-A	7.9
YCR098C	1.7
YCR099C	1.5
YCR100C	1.3
YCR101C	3.8
YCR102C	2.7
YCR104W	18.7
YCR105W	1.5
YCR106W	5.5
YCR107W	2.2
YCR108C	5.2
YDL001W	18.8
YDL002C	45.5
YDL003W	49.9
YDL004W	245
YDL005C	39
YDL006W	31.9
YDL007C-A	0.8
YDL007W	248.6
YDL008W	44.5
YDL009C	0.3
YDL010W	78.7
YDL012C	96.3
YDL013W	12.4
YDL014W	513.5
YDL015C	341.3
YDL017W	13.8
YDL018C	64.6
YDL019C	29
YDL020C	68.8
YDL021W	23.1
YDL022C-A	0.4
YDL022W	223.8
YDL024C	1.4
YDL025C	18.3
YDL027C	21.8
YDL028C	14.3
YDL029W	273.4
YDL030W	18.5
YDL031W	47.4
YDL033C	8.1
YDL035C	23.3
YDL036C	17.7
YDL037C	0.8
YDL039C	0.6
YDL040C	135.7
YDL042C	27.7
YDL043C	30.5
YDL044C	18.6
YDL045C	32.8
YDL045W-A	141
YDL046W	316.3
YDL047W	64.5
YDL048C	2.1
YDL049C	4.5
YDL051W	179.1
YDL052C	176.5
YDL053C	79.1
YDL054C	38.2
YDL055C	2014.9
YDL056W	18.8
YDL057W	11.2
YDL058W	36.5
YDL059C	8.3
YDL060W	51.9
YDL061C	2057
YDL063C	49.6
YDL064W	159.3
YDL065C	61.2
YDL066W	307.9
YDL067C	203.2
YDL069C	9.8
YDL070W	75.3
YDL072C	286.4
YDL073W	18.2
YDL074C	49.4
YDL075W	2610.1
YDL076C	36.1
YDL077C	17.6
YDL078C	153.1
YDL079C	0.4
YDL080C	9.5
YDL081C	2223.5
YDL082W	1508.3
YDL083C	2075.3
YDL084W	742.7
YDL085C-A	62.5
YDL085W	1.4
YDL086W	92.3
YDL087C	9.3
YDL088C	34.3
YDL089W	30.3
YDL090C	20.8
YDL091C	21.9
YDL092W	146.2
YDL093W	57.5
YDL095W	269.2
YDL097C	242.2
YDL098C	30.5
YDL099W	61.8
YDL100C	454.1
YDL101C	27.4
YDL102W	31
YDL103C	97.6
YDL104C	8.7
YDL105W	10.8
YDL106C	37.6
YDL107W	19.3
YDL108W	29.1
YDL109C	2.2
YDL110C	33.5
YDL111C	68.2
YDL112W	49.9
YDL113C	17.6
YDL114W	0.4
YDL115C	17
YDL116W	62.4
YDL117W	20.8
YDL119C	18.4
YDL120W	85.2
YDL121C	176.5
YDL122W	55.9
YDL123W	62.2
YDL124W	284.1
YDL125C	451
YDL126C	613.7
YDL127W	29.6
YDL128W	134
YDL129W	8.4
YDL130W	2080.2
YDL130W-A	100.2
YDL131W	332
YDL132W	82
YDL133C-A	3593.4
YDL133W	19.8
YDL134C	90.6
YDL135C	199.9
YDL136W	2553.9
YDL137W	666.6
YDL138W	4.2
YDL139C	10.6
YDL140C	156.7
YDL141W	44.9
YDL142C	23.5
YDL143W	228.4
YDL144C	35.2
YDL145C	219.3
YDL146W	15.6
YDL147W	253.8
YDL148C	61.4
YDL149W	10
YDL150W	26
YDL153C	62.9
YDL154W	0.8
YDL155W	33.8
YDL156W	11.5
YDL157C	220
YDL159W	19.4
YDL159W-A	7
YDL160C	246
YDL160C-A	42.2
YDL161W	59.5
YDL164C	31.9
YDL165W	99.3
YDL166C	96.9
YDL167C	37
YDL168W	116
YDL169C	5.9
YDL170W	12.5
YDL171C	86.2
YDL173W	66.7
YDL174C	27.4
YDL175C	21.1
YDL176W	9.8
YDL177C	12.3
YDL178W	63.6
YDL179W	29.6
YDL180W	25.1
YDL181W	25.8
YDL182W	406.4
YDL183C	9.9
YDL184C	3559.4
YDL185W	749.2
YDL186W	0.3
YDL188C	77.5
YDL189W	35.9
YDL190C	62.5
YDL191W	2735.5
YDL192W	1533.5
YDL193W	79.3
YDL194W	4.9
YDL195W	174
YDL197C	6.7
YDL198C	112
YDL199C	5.3
YDL200C	27.1
YDL201W	70.9
YDL202W	60.7
YDL203C	15.3
YDL204W	4
YDL205C	58.3
YDL206W	6.3
YDL207W	19.8
YDL208W	334.6
YDL209C	21.2
YDL210W	1.6
YDL211C	8.8
YDL212W	284.5
YDL213C	76.4
YDL214C	0.3
YDL215C	35.7
YDL216C	10.6
YDL217C	59.8
YDL218W	0.6
YDL219W	140.7
YDL220C	6.9
YDL222C	2.3
YDL223C	2.1
YDL224C	40.9
YDL225W	75
YDL226C	143.9
YDL227C	56.7
YDL229W	2854.2
YDL230W	16.5
YDL231C	3.3
YDL232W	183.5
YDL233W	16
YDL234C	23.1
YDL235C	123.4
YDL236W	176.1
YDL237W	98.5
YDL238C	7
YDL239C	0.6
YDL240W	17.9
YDL241W	39.7
YDL243C	1.7
YDL244W	1.2
YDL245C	0.6
YDL246C	2.7
YDL247W	1.1
YDL248W	41
YDR001C	51.4
YDR002W	771.5
YDR003W	37.5
YDR003W-A	55.1
YDR004W	7.9
YDR005C	23.2
YDR006C	26.5
YDR007W	45.7
YDR009W	2.6
YDR011W	178.2
YDR012W	2266.3
YDR013W	92.5
YDR014W	9.9
YDR014W-A	0.7
YDR016C	49.7
YDR017C	22.7
YDR018C	1.8
YDR019C	111.6
YDR020C	28.6
YDR021W	21.8
YDR022C	18.8
YDR023W	786.5
YDR025W	2103.4
YDR026C	7.5
YDR027C	21.9
YDR028C	55.5
YDR030C	6.5
YDR031W	39.9
YDR032C	468.1
YDR033W	1229.5
YDR034C	19.3
YDR034C-A	36.8
YDR034W-B	8
YDR035W	162.8
YDR036C	75.1
YDR037W	652.5
YDR038C	70.3
YDR039C	75
YDR040C	66.6
YDR041W	103.2
YDR042C	1.9
YDR043C	16.7
YDR044W	162
YDR045C	102
YDR046C	77.4
YDR047W	55.9
YDR049W	20.6
YDR050C	4911.8
YDR051C	36.5
YDR052C	23.4
YDR054C	96.2
YDR055W	152.6
YDR056C	162.6
YDR057W	28.2
YDR058C	15.1
YDR059C	43.8
YDR060W	80.7
YDR061W	32.8
YDR062W	186
YDR063W	101.1
YDR064W	3313.3
YDR065W	26.1
YDR066C	18
YDR067C	29.1
YDR068W	56.9
YDR069C	14.9
YDR070C	2.3
YDR071C	467.2
YDR072C	104.1
YDR073W	19.3
YDR074W	72.4
YDR075W	32.1
YDR076W	5.5
YDR077W	1066.7
YDR078C	13.6
YDR079C-A	64.4
YDR079W	52.2
YDR080W	21.4
YDR081C	22
YDR082W	4.5
YDR083W	56.8
YDR084C	106.6
YDR085C	3.1
YDR086C	751.2
YDR087C	99.5
YDR088C	14.1
YDR089W	30.5
YDR090C	36.6
YDR091C	167.6
YDR092W	199.9
YDR093W	34.8
YDR096W	14.6
YDR097C	30
YDR098C	241.5
YDR099W	804.1
YDR100W	164.9
YDR101C	117.4
YDR103W	21.3
YDR104C	6.9
YDR105C	50
YDR106W	3.7
YDR107C	33.2
YDR108W	20.3
YDR109C	9.6
YDR110W	17.9
YDR111C	17.7
YDR113C	25.8
YDR114C	0.7
YDR115W	143.5
YDR116C	59.2
YDR117C	52.4
YDR118W	14.3
YDR119W	88.3
YDR119W-A	3.5
YDR120C	80.2
YDR121W	47.8
YDR122W	29.2
YDR123C	14.7
YDR124W	1.2
YDR125C	3.9
YDR126W	11.8
YDR127W	125.6
YDR128W	15.3
YDR129C	227.9
YDR130C	22.1
YDR131C	14.3
YDR132C	9.2
YDR135C	104.2
YDR137W	18.8
YDR138W	31
YDR139C	127.2
YDR140W	41.5
YDR141C	36.5
YDR142C	15.3
YDR143C	33.2
YDR144C	91.9
YDR145W	43.6
YDR146C	37.5
YDR147W	29.4
YDR148C	93.5
YDR150W	42.3
YDR151C	59.3
YDR152W	100.6
YDR153C	50.1
YDR155C	2636.9
YDR156W	70.2
YDR158W	648.7
YDR159W	14.3
YDR160W	4.6
YDR161W	85
YDR162C	32.5
YDR163W	25.6
YDR164C	33.9
YDR165W	107.1
YDR166C	31.2
YDR167W	66.8
YDR168W	181.9
YDR169C	22.5
YDR169C-A	1.9
YDR170C	98.3
YDR171W	58.8
YDR172W	244.9
YDR173C	17.8
YDR174W	263.9
YDR175C	61.3
YDR176W	24.1
YDR177W	184.3
YDR178W	74
YDR179C	26.8
YDR179W-A	10
YDR180W	16.6
YDR181C	14.8
YDR182W	77.4
YDR182W-A	69.7
YDR183W	31.2
YDR184C	34.7
YDR185C	8.5
YDR186C	27.4
YDR188W	179.1
YDR189W	78.1
YDR190C	164.8
YDR191W	14.1
YDR192C	21.6
YDR194C	90.1
YDR194W-A	0.6
YDR195W	22.6
YDR196C	39.8
YDR197W	17.2
YDR198C	20.2
YDR200C	15.6
YDR201W	42.7
YDR202C	28.8
YDR204W	38.3
YDR205W	28.1
YDR206W	22.9
YDR207C	12.9
YDR208W	35.8
YDR210W	244.1
YDR211W	98.1
YDR212W	265.2
YDR213W	17.6
YDR214W	172.2
YDR216W	8.5
YDR217C	14.5
YDR218C	0.7
YDR219C	34.8
YDR221W	33.3
YDR222W	18
YDR223W	1.2
YDR224C	1634.9
YDR225W	1301.9
YDR226W	1228.3
YDR227W	12.2
YDR228C	25.2
YDR229W	29.9
YDR231C	22.4
YDR232W	95.4
YDR233C	728.5
YDR234W	49
YDR235W	25.3
YDR236C	45.4
YDR237W	71.9
YDR238C	213.4
YDR239C	14.3
YDR240C	19.7
YDR242W	2.4
YDR243C	14.1
YDR244W	29.6
YDR245W	104.7
YDR246W	39.1
YDR246W-A	12.6
YDR247W	16
YDR248C	40.5
YDR249C	8.1
YDR251W	42.3
YDR252W	20.1
YDR253C	4.4
YDR254W	11.4
YDR255C	10.8
YDR256C	0.5
YDR257C	34.3
YDR258C	77
YDR259C	4.4
YDR260C	37.3
YDR261C	51.3
YDR262W	67
YDR263C	1.6
YDR264C	134.1
YDR265W	12.8
YDR266C	39.8
YDR267C	36.5
YDR268W	32.3
YDR270W	39.8
YDR272W	87.4
YDR273W	1.5
YDR275W	14.2
YDR276C	1297.5
YDR277C	3.1
YDR279W	40.4
YDR280W	62.4
YDR281C	31.4
YDR282C	11.2
YDR283C	20.7
YDR284C	95.7
YDR285W	1.8
YDR286C	41.8
YDR287W	32.4
YDR288W	18.8
YDR289C	37
YDR291W	10.2
YDR292C	77.1
YDR293C	54.2
YDR294C	80.2
YDR295C	23.8
YDR296W	61.6
YDR297W	140.7
YDR298C	166.3
YDR299W	53.3
YDR300C	122.7
YDR301W	20.6
YDR302W	83.8
YDR303C	57.5
YDR304C	423.2
YDR305C	67.7
YDR306C	19.1
YDR307W	60.2
YDR308C	64.1
YDR309C	75.1
YDR310C	23.2
YDR311W	22.5
YDR312W	43
YDR313C	13.9
YDR314C	3.9
YDR315C	10.5
YDR316W	20.2
YDR317W	4
YDR318W	8.3
YDR319C	39.6
YDR320C	31.9
YDR320C-A	89.3
YDR321W	228.3
YDR322C-A	109.8
YDR322W	65.6
YDR323C	10.3
YDR324C	59.2
YDR325W	17.4
YDR326C	33.9
YDR328C	163.5
YDR329C	40.1
YDR330W	26.9
YDR331W	76.3
YDR332W	6.7
YDR333C	39.3
YDR334W	11.2
YDR335W	48.7
YDR336W	8.3
YDR337W	67.2
YDR338C	14.4
YDR339C	98
YDR341C	398.3
YDR342C	163.1
YDR343C	164.6
YDR345C	876
YDR346C	224.2
YDR347W	82.7
YDR348C	36.4
YDR349C	38.9
YDR350C	7.3
YDR351W	21.6
YDR352W	49.3
YDR353W	555.6
YDR354W	59.7
YDR356W	24.6
YDR357C	44.8
YDR358W	34.6
YDR359C	12.8
YDR361C	147.9
YDR362C	13.8
YDR363W	10.6
YDR363W-A	309.9
YDR364C	10.3
YDR365C	53.8
YDR366C	37.6
YDR367W	86.4
YDR368W	213.2
YDR369C	7.8
YDR370C	17.6
YDR371W	21.9
YDR372C	149.7
YDR373W	124
YDR374C	1.2
YDR374W-A	28
YDR375C	28.5
YDR376W	29.3
YDR377W	265.9
YDR378C	227.6
YDR379C-A	36.6
YDR379W	11.1
YDR380W	9.4
YDR381C-A	26.1
YDR381W	443.4
YDR382W	2119.1
YDR383C	13.1
YDR384C	143.4
YDR385W	2847.5
YDR386W	10.1
YDR387C	8.8
YDR388W	160.5
YDR389W	32.4
YDR390C	47.6
YDR391C	30.2
YDR392W	25.9
YDR393W	16.7
YDR394W	195.2
YDR395W	124.3
YDR397C	84.3
YDR398W	56.8
YDR399W	255
YDR400W	59.7
YDR402C	0.3
YDR403W	1.4
YDR404C	120.8
YDR405W	32.9
YDR406W	64.8
YDR407C	24
YDR408C	79.8
YDR409W	11.9
YDR410C	73.7
YDR411C	67.2
YDR412W	61.4
YDR414C	29.3
YDR415C	42.5
YDR416W	15.3
YDR418W	2649.1
YDR419W	11.2
YDR420W	9.2
YDR421W	8.3
YDR422C	21.4
YDR423C	36.9
YDR424C	78.6
YDR425W	19.5
YDR427W	286.9
YDR428C	50
YDR429C	375.1
YDR430C	53.9
YDR432W	388.5
YDR434W	85.1
YDR435C	30.6
YDR436W	11.9
YDR437W	17.3
YDR438W	0.6
YDR439W	15.9
YDR440W	15.9
YDR441C	35
YDR443C	8.6
YDR444W	10.7
YDR446W	0.5
YDR447C	2316.5
YDR448W	25.8
YDR449C	66.7
YDR450W	2752.1
YDR451C	45.8
YDR452W	70.3
YDR453C	31.1
YDR454C	527.3
YDR456W	71.9
YDR457W	42.1
YDR458C	26.7
YDR459C	8.3
YDR460W	22.2
YDR461C-A	39.2
YDR461W	239.7
YDR462W	71
YDR463W	58.4
YDR464W	6.4
YDR465C	58.1
YDR466W	14
YDR468C	61.6
YDR469W	47.4
YDR470C	32.3
YDR471W	1271.4
YDR472W	44.5
YDR473C	14.7
YDR475C	10
YDR476C	82.2
YDR477W	53.2
YDR478W	16.3
YDR479C	17
YDR480W	15.7
YDR481C	122.8
YDR482C	22.2
YDR483W	337.6
YDR484W	25.7
YDR485C	11.6
YDR486C	84.1
YDR487C	220.8
YDR488C	10.8
YDR489W	26.6
YDR490C	14.1
YDR492W	77
YDR493W	47.7
YDR494W	48.8
YDR495C	14.6
YDR496C	96.6
YDR497C	125.2
YDR498C	25.4
YDR499W	9.4
YDR500C	1702
YDR501W	6.7
YDR502C	299.5
YDR503C	32.4
YDR504C	27.8
YDR505C	37.5
YDR506C	12.4
YDR507C	42
YDR508C	185.3
