# Created by: riboviz
# Date: 2026-03-12 11:46:19.396859
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
27	-21	4
28	-21	5
29	-21	33
30	-21	71
31	-21	78
32	-21	71
33	-21	38
34	-21	16
35	-21	1
36	-21	3
37	-21	0
38	-21	1
39	-21	0
40	-21	0
41	-21	0
42	-21	0
43	-21	0
44	-21	0
45	-21	0
46	-21	0
47	-21	0
48	-21	0
49	-21	0
50	-21	0
10	-20	0
11	-20	0
12	-20	0
13	-20	0
14	-20	0
15	-20	0
16	-20	0
17	-20	0
18	-20	0
19	-20	1
20	-20	0
21	-20	0
22	-20	0
23	-20	2
24	-20	0
25	-20	1
26	-20	2
27	-20	1
28	-20	14
29	-20	24
30	-20	66
31	-20	112
32	-20	76
33	-20	50
34	-20	13
35	-20	2
36	-20	0
37	-20	0
38	-20	0
39	-20	0
40	-20	0
41	-20	0
42	-20	0
43	-20	0
44	-20	0
45	-20	0
46	-20	0
47	-20	0
48	-20	0
49	-20	0
50	-20	0
10	-19	0
11	-19	0
12	-19	0
13	-19	0
14	-19	0
15	-19	0
16	-19	0
17	-19	0
18	-19	0
19	-19	0
20	-19	1
21	-19	0
22	-19	1
23	-19	0
24	-19	1
25	-19	2
26	-19	1
27	-19	0
28	-19	10
29	-19	36
30	-19	213
31	-19	355
32	-19	112
33	-19	51
34	-19	13
35	-19	1
36	-19	2
37	-19	1
38	-19	0
39	-19	0
40	-19	0
41	-19	0
42	-19	0
43	-19	0
44	-19	0
45	-19	0
46	-19	0
47	-19	0
48	-19	0
49	-19	0
50	-19	0
10	-18	0
11	-18	0
12	-18	0
13	-18	0
14	-18	0
15	-18	0
16	-18	0
17	-18	0
18	-18	0
19	-18	2
20	-18	0
21	-18	0
22	-18	0
23	-18	1
24	-18	0
25	-18	3
26	-18	12
27	-18	36
28	-18	90
29	-18	1183
30	-18	3802
31	-18	1829
32	-18	278
33	-18	66
34	-18	18
35	-18	11
36	-18	2
37	-18	0
38	-18	0
39	-18	0
40	-18	0
41	-18	0
42	-18	0
43	-18	0
44	-18	0
45	-18	0
46	-18	0
47	-18	0
48	-18	0
49	-18	0
50	-18	0
10	-17	0
11	-17	0
12	-17	0
13	-17	0
14	-17	0
15	-17	0
16	-17	0
17	-17	0
18	-17	0
19	-17	0
20	-17	0
21	-17	1
22	-17	0
23	-17	0
24	-17	1
25	-17	3
26	-17	4
27	-17	7
28	-17	48
29	-17	202
30	-17	186
31	-17	159
32	-17	90
33	-17	51
34	-17	16
35	-17	4
36	-17	8
37	-17	4
38	-17	0
39	-17	0
40	-17	0
41	-17	0
42	-17	0
43	-17	0
44	-17	0
45	-17	0
46	-17	0
47	-17	0
48	-17	0
49	-17	0
50	-17	0
10	-16	0
11	-16	0
12	-16	0
13	-16	0
14	-16	0
15	-16	0
16	-16	0
17	-16	0
18	-16	0
19	-16	0
20	-16	0
21	-16	0
22	-16	0
23	-16	0
24	-16	1
25	-16	0
26	-16	1
27	-16	10
28	-16	37
29	-16	51
30	-16	81
31	-16	110
32	-16	72
33	-16	33
34	-16	16
35	-16	6
36	-16	8
37	-16	0
38	-16	0
39	-16	0
40	-16	0
41	-16	0
42	-16	0
43	-16	0
44	-16	0
45	-16	0
46	-16	0
47	-16	0
48	-16	0
49	-16	0
50	-16	0
10	-15	0
11	-15	0
12	-15	0
13	-15	0
14	-15	0
15	-15	0
16	-15	0
17	-15	0
18	-15	0
19	-15	0
20	-15	0
21	-15	0
22	-15	0
23	-15	4
24	-15	2
25	-15	2
26	-15	7
27	-15	14
28	-15	24
29	-15	43
30	-15	96
31	-15	115
32	-15	127
33	-15	78
34	-15	65
35	-15	41
36	-15	4
37	-15	3
38	-15	1
39	-15	0
40	-15	0
41	-15	0
42	-15	0
43	-15	0
44	-15	0
45	-15	0
46	-15	0
47	-15	0
48	-15	0
49	-15	0
50	-15	0
10	-14	0
11	-14	0
12	-14	0
13	-14	0
14	-14	0
15	-14	0
16	-14	0
17	-14	0
18	-14	0
19	-14	1
20	-14	0
21	-14	1
22	-14	0
23	-14	4
24	-14	8
25	-14	18
26	-14	38
27	-14	67
28	-14	122
29	-14	1850
30	-14	2864
31	-14	1196
32	-14	1258
33	-14	1760
34	-14	1010
35	-14	185
36	-14	30
37	-14	17
38	-14	9
39	-14	1
40	-14	1
41	-14	0
42	-14	0
43	-14	0
44	-14	0
45	-14	0
46	-14	0
47	-14	0
48	-14	0
49	-14	0
50	-14	0
10	-13	0
11	-13	0
12	-13	0
13	-13	0
14	-13	0
15	-13	0
16	-13	1
17	-13	2
18	-13	2
19	-13	0
20	-13	5
21	-13	9
22	-13	7
23	-13	11
24	-13	20
25	-13	42
26	-13	66
27	-13	80
28	-13	118
29	-13	203
30	-13	3063
31	-13	6809
32	-13	10007
33	-13	7345
34	-13	2237
35	-13	218
36	-13	42
37	-13	16
38	-13	6
39	-13	0
40	-13	1
41	-13	0
42	-13	0
43	-13	0
44	-13	0
45	-13	0
46	-13	0
47	-13	0
48	-13	0
49	-13	0
50	-13	0
10	-12	0
11	-12	0
12	-12	0
13	-12	0
14	-12	0
15	-12	2
16	-12	1
17	-12	0
18	-12	4
19	-12	5
20	-12	5
21	-12	11
22	-12	16
23	-12	36
24	-12	69
25	-12	125
26	-12	118
27	-12	217
28	-12	404
29	-12	6651
30	-12	15102
31	-12	26702
32	-12	17020
33	-12	4787
34	-12	719
35	-12	122
36	-12	44
37	-12	6
38	-12	6
39	-12	1
40	-12	0
41	-12	0
42	-12	0
43	-12	0
44	-12	0
45	-12	0
46	-12	0
47	-12	0
48	-12	0
49	-12	0
50	-12	0
10	-11	0
11	-11	0
12	-11	0
13	-11	0
14	-11	0
15	-11	0
16	-11	0
17	-11	2
18	-11	2
19	-11	2
20	-11	5
21	-11	4
22	-11	11
23	-11	40
24	-11	47
25	-11	78
26	-11	78
27	-11	119
28	-11	1519
29	-11	6588
30	-11	15244
31	-11	10899
32	-11	3452
33	-11	963
34	-11	387
35	-11	102
36	-11	18
37	-11	16
38	-11	2
39	-11	0
40	-11	0
41	-11	0
42	-11	0
43	-11	0
44	-11	0
45	-11	0
46	-11	0
47	-11	0
48	-11	0
49	-11	0
50	-11	0
10	-10	0
11	-10	0
12	-10	0
13	-10	0
14	-10	0
15	-10	0
16	-10	1
17	-10	0
18	-10	1
19	-10	1
20	-10	2
21	-10	4
22	-10	3
23	-10	8
24	-10	17
25	-10	24
26	-10	39
27	-10	221
28	-10	752
29	-10	1942
30	-10	2626
31	-10	2957
32	-10	3326
33	-10	2353
34	-10	833
35	-10	116
36	-10	37
37	-10	15
38	-10	1
39	-10	0
40	-10	0
41	-10	0
42	-10	0
43	-10	0
44	-10	0
45	-10	0
46	-10	0
47	-10	0
48	-10	0
49	-10	0
50	-10	0
10	-9	0
11	-9	0
12	-9	0
13	-9	0
14	-9	0
15	-9	0
16	-9	2
17	-9	2
18	-9	11
19	-9	14
20	-9	206
21	-9	794
22	-9	155
23	-9	116
24	-9	51
25	-9	46
26	-9	94
27	-9	214
28	-9	518
29	-9	1889
30	-9	4975
31	-9	8477
32	-9	7327
33	-9	2870
34	-9	584
35	-9	77
36	-9	17
37	-9	9
38	-9	2
39	-9	0
40	-9	0
41	-9	0
42	-9	0
43	-9	0
44	-9	0
45	-9	0
46	-9	0
47	-9	0
48	-9	0
49	-9	0
50	-9	0
10	-8	0
11	-8	0
12	-8	0
13	-8	0
14	-8	0
15	-8	1
16	-8	1
17	-8	1
18	-8	0
19	-8	3
20	-8	23
21	-8	34
22	-8	4
23	-8	6
24	-8	16
25	-8	56
26	-8	106
27	-8	279
28	-8	689
29	-8	2103
30	-8	4522
31	-8	4448
32	-8	2306
33	-8	819
34	-8	271
35	-8	63
36	-8	10
37	-8	6
38	-8	4
39	-8	0
40	-8	0
41	-8	0
42	-8	0
43	-8	0
44	-8	0
45	-8	0
46	-8	0
47	-8	0
48	-8	0
49	-8	0
50	-8	0
10	-7	0
11	-7	0
12	-7	0
13	-7	0
14	-7	0
15	-7	0
16	-7	0
17	-7	0
18	-7	1
19	-7	1
20	-7	4
21	-7	2
22	-7	1
23	-7	6
24	-7	29
25	-7	82
26	-7	202
27	-7	307
28	-7	452
29	-7	661
30	-7	1379
31	-7	2051
32	-7	2597
33	-7	1971
34	-7	623
35	-7	82
36	-7	11
37	-7	1
38	-7	4
39	-7	1
40	-7	0
41	-7	0
42	-7	0
43	-7	0
44	-7	0
45	-7	0
46	-7	0
47	-7	0
48	-7	0
49	-7	0
50	-7	0
10	-6	0
11	-6	0
12	-6	0
13	-6	0
14	-6	0
15	-6	2
16	-6	0
17	-6	1
18	-6	6
19	-6	0
20	-6	3
21	-6	9
22	-6	2
23	-6	35
24	-6	66
25	-6	203
26	-6	200
27	-6	224
28	-6	290
29	-6	1746
30	-6	4614
31	-6	6649
32	-6	5446
33	-6	1699
