GeneID,Mean,Mean.log10,Std.Dev,log10.Std.Dev,0.025,0.975,log10.0.025,log10.0.975
YJR014W,2.56158685684204,0.407788246870041,0.147848239594262,0.0250058489063309,2.28969669938087,2.86310613552729,0.35977795654949,0.456837440759657
YJR015W,0.786747992038727,-0.104496352374554,0.0307928242168884,0.0170120084603229,0.726770625511805,0.847700149317582,-0.138602649781483,-0.0717577521335847
YJR016C,3.19683957099915,0.504426956176758,0.117682575488721,0.0159648357435206,2.97362666924794,3.43004982074102,0.473286443109101,0.535300428091226
YJR017C,1.08552694320679,0.0347565412521362,0.0696275482205807,0.027656554123451,0.959239888687929,1.2371701002121,-0.0180727714983298,0.0924294154777557
YJR019C,0.0934954136610031,-1.02992641925812,0.00536277466079637,0.0249657851274326,0.0834536148235202,0.104161968144278,-1.07855484792314,-0.98229082296781
YJR025C,1.10996079444885,0.0445018820464611,0.0677600714121054,0.0264530362731445,0.982117531696955,1.25388111770153,-0.00783655581278641,0.0982562984239415
YJR030C,0.0858635455369949,-1.06656563282013,0.0035713708898733,0.0180884730724942,0.0789021286492546,0.0928989054014285,-1.10291128029902,-1.03198940368078
YJR031C,0.139324337244034,-0.856178641319275,0.00428981873867294,0.0133858819599971,0.130983469014366,0.147623790055513,-0.882783511777755,-0.830843649181971
YJR032W,0.408383548259735,-0.389380067586899,0.0185946806819489,0.0197576565462472,0.372958249847094,0.446918738881747,-0.428339790315547,-0.349771437831713
YJR033C,0.122493557631969,-0.912136614322662,0.00415159569103344,0.0147396871484275,0.114295812882483,0.130589425563812,-0.941969679289373,-0.884091988491384
YJR034W,0.46536111831665,-0.333692759275436,0.0386478289106519,0.0358255505969901,0.398681108653545,0.547005295753479,-0.399374355185508,-0.262008505661066
YJR035W,0.0558070801198483,-1.25368618965149,0.00231442050207285,0.0180114113649184,0.051457652511696,0.0604722257082661,-1.28855003415984,-1.21844404864772
YJR036C,0.0123556731268764,-1.9096177816391,0.0010217385856092,0.0359608514736256,0.0104805787404378,0.0144076165587952,-1.97961474122056,-1.8414078743572
YJR040W,0.206528753042221,-0.685327649116516,0.00779733755757627,0.0163941158611185,0.191488339255253,0.222080142547687,-0.717857670589528,-0.653490273110228
YJR041C,0.199206858873367,-0.700913846492767,0.00630308888963338,0.0137453700867284,0.187445670366287,0.211839943254987,-0.727124586492076,-0.67399214877544
YJR042W,0.315011560916901,-0.501941382884979,0.0110448836473289,0.0152237528057779,0.294395642230908,0.337034557014704,-0.531068623131309,-0.472325571150938
YJR043C,0.181635662913322,-0.741385161876678,0.00946492312379259,0.022564003654883,0.164007157211502,0.20071799804767,-0.785137199571049,-0.697413703519273
YJR044C,0.685560286045074,-0.165044620633125,0.0486510523138847,0.0307629609614042,0.595979084571203,0.784462505578995,-0.224769018991961,-0.105427878001899
YJR046W,0.16934409737587,-0.771635770797729,0.00731917272034898,0.0187709814202631,0.155181432391206,0.1841951161623,-0.809160247372528,-0.734721889078813
YJR049C,0.249191045761108,-0.603856444358826,0.0105540002876487,0.0183909763734685,0.228608623147011,0.27077646975716,-0.640907391987404,-0.567389078358485
YJR050W,0.191253572702408,-0.719267904758453,0.0122105402671357,0.0275810283802178,0.169502408181628,0.216928642615676,-0.770824127694726,-0.663683185204668
YJR051W,0.331756830215454,-0.479570716619492,0.0140996541711014,0.0184266320673654,0.305083648860455,0.361076992998521,-0.515581068966413,-0.442400182965884
YJR053W,0.071444533765316,-1.14659571647644,0.00363750724798383,0.0221617680019304,0.0643920160830021,0.0787654936313629,-1.1911679773516,-1.10366400092413
YJR054W,0.0558578968048096,-1.25366187095642,0.00327777751559654,0.0254665338156842,0.0498400402565797,0.0627198104436199,-1.3024216165186,-1.20259526343225
YJR055W,0.141390174627304,-0.850906074047089,0.0110432402414552,0.0339872100760146,0.119972659026583,0.164247531692187,-0.920917717876978,-0.784501374651332
YJR056C,0.16428804397583,-0.785340785980225,0.0108684126003046,0.0287032312071039,0.14373554289341,0.186820849776268,-0.842435826341725,-0.728574656813186
YJR057W,0.318887591362,-0.497237116098404,0.0203152805096519,0.0275513166022416,0.281576394786437,0.362231719742219,-0.550403756112121,-0.441013524719517
YJR058C,0.270829200744629,-0.568496763706207,0.0201161686398537,0.0321756053966993,0.233954537535707,0.311683009316524,-0.630868537404025,-0.506286871721091
YJR059W,0.294907361268997,-0.530586421489716,0.0104424900740665,0.0153753572606081,0.275599223872026,0.316111107170582,-0.559722009846191,-0.500160245369038
YJR060W,0.952370285987854,-0.0216752402484417,0.0449475261801853,0.020443829281207,0.867720627784729,1.04436951677004,-0.061620078514243,0.0188541513120989
YJR062C,0.133351311087608,-0.875559270381927,0.00675168225178438,0.0219839285705306,0.120733768244584,0.147172808647156,-0.91817124645012,-0.832172421964126
YJR064W,1.92820274829865,0.284843355417252,0.0728407603787324,0.0163924275012046,1.78843987286091,2.07504605054855,0.252474343462114,0.317027737257848
YJR069C,1.71499669551849,0.233404666185379,0.108154809231546,0.0273032122085196,1.51742479304473,1.94175851345062,0.181107173719927,0.288195217952501
YJR070C,3.13397431373596,0.495597690343857,0.149996625345734,0.0208161035706485,2.84547973871231,3.4287996729215,0.454155497553977,0.535142111903467
YJR072C,0.85644805431366,-0.0677619799971581,0.0395936057105819,0.0200531208175815,0.779474138220151,0.938307076692581,-0.108198300849304,-0.0276550084442638
YJR076C,0.740597069263458,-0.130864351987839,0.0336076656340915,0.0197058266535255,0.675291954477628,0.80945544987917,-0.170508424718477,-0.0918070486306111
YJR077C,1.71132600307465,0.232762739062309,0.0876735045243026,0.0222507011127814,1.54531047244867,1.89347907404105,0.189015747235183,0.277260509690014
YJR079W,0.0052642016671598,-2.29875564575195,0.00161661826849868,0.133106320407127,0.00271987138936917,0.00922012124986698,-2.56545167781188,-2.03526368259727
YJR080C,0.250688403844833,-0.601388454437256,0.0122882679063526,0.0213291994798393,0.227048665409287,0.275432562083006,-0.643881046676228,-0.559984719869549
YJR082C,0.291648119688034,-0.536782622337341,0.0255461421093675,0.0376723186005194,0.246317041044434,0.348100531846285,-0.60850554753693,-0.458295314508128
YJR085C,2.47027826309204,0.391320496797562,0.200714573012104,0.0351669722339296,2.09962174892426,2.90543065865835,0.322141061035419,0.463210493140064
YJR086W,0.731041610240936,-0.137483388185501,0.0594532198848794,0.0351595181694486,0.625959177315235,0.859724867840608,-0.203454024345728,-0.0656406784812488
